date,dépannage chauffe eau,isPartial
2018-01-07,27,False
2018-01-14,27,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,27,False
2018-02-11,0,False
2018-02-18,28,False
2018-02-25,81,False
2018-03-04,0,False
2018-03-11,27,False
2018-03-18,27,False
2018-03-25,28,False
2018-04-01,0,False
2018-04-08,27,False
2018-04-15,0,False
2018-04-22,56,False
2018-04-29,28,False
2018-05-06,29,False
2018-05-13,27,False
2018-05-20,28,False
2018-05-27,27,False
2018-06-03,27,False
2018-06-10,26,False
2018-06-17,55,False
2018-06-24,27,False
2018-07-01,27,False
2018-07-08,28,False
2018-07-15,0,False
2018-07-22,29,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,31,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,28,False
2018-09-09,0,False
2018-09-16,28,False
2018-09-23,28,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,28,False
2018-11-04,27,False
2018-11-11,53,False
2018-11-18,27,False
2018-11-25,27,False
2018-12-02,27,False
2018-12-09,28,False
2018-12-16,28,False
2018-12-23,32,False
2018-12-30,30,False
2019-01-06,27,False
2019-01-13,27,False
2019-01-20,0,False
2019-01-27,53,False
2019-02-03,0,False
2019-02-10,27,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,27,False
2019-03-10,27,False
2019-03-17,28,False
2019-03-24,56,False
2019-03-31,27,False
2019-04-07,0,False
2019-04-14,28,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,54,False
2019-05-12,27,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,25,False
2019-06-09,0,False
2019-06-16,27,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,58,False
2019-08-11,57,False
2019-08-18,0,False
2019-08-25,27,False
2019-09-01,52,False
2019-09-08,26,False
2019-09-15,0,False
2019-09-22,100,False
2019-09-29,0,False
2019-10-06,50,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,25,False
2019-11-17,24,False
2019-11-24,24,False
2019-12-01,0,False
2019-12-08,48,False
2019-12-15,25,False
2019-12-22,27,False
2019-12-29,26,False
2020-01-05,24,False
2020-01-12,23,False
2020-01-19,32,False
2020-01-26,24,False
2020-02-02,24,False
2020-02-09,24,False
2020-02-16,48,False
2020-02-23,35,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,21,False
2020-03-22,21,False
2020-03-29,32,False
2020-04-05,21,False
2020-04-12,21,False
2020-04-19,21,False
2020-04-26,20,False
2020-05-03,0,False
2020-05-10,21,False
2020-05-17,0,True
