date,Popolare,isPartial
2018-01-07,95,False
2018-01-14,89,False
2018-01-21,83,False
2018-01-28,87,False
2018-02-04,82,False
2018-02-11,85,False
2018-02-18,79,False
2018-02-25,84,False
2018-03-04,80,False
2018-03-11,78,False
2018-03-18,76,False
2018-03-25,77,False
2018-04-01,74,False
2018-04-08,80,False
2018-04-15,79,False
2018-04-22,72,False
2018-04-29,68,False
2018-05-06,75,False
2018-05-13,80,False
2018-05-20,73,False
2018-05-27,76,False
2018-06-03,70,False
2018-06-10,77,False
2018-06-17,74,False
2018-06-24,74,False
2018-07-01,77,False
2018-07-08,77,False
2018-07-15,77,False
2018-07-22,74,False
2018-07-29,79,False
2018-08-05,72,False
2018-08-12,52,False
2018-08-19,55,False
2018-08-26,62,False
2018-09-02,69,False
2018-09-09,68,False
2018-09-16,69,False
2018-09-23,67,False
2018-09-30,72,False
2018-10-07,73,False
2018-10-14,66,False
2018-10-21,63,False
2018-10-28,59,False
2018-11-04,70,False
2018-11-11,71,False
2018-11-18,65,False
2018-11-25,71,False
2018-12-02,78,False
2018-12-09,77,False
2018-12-16,86,False
2018-12-23,58,False
2018-12-30,59,False
2019-01-06,73,False
2019-01-13,69,False
2019-01-20,63,False
2019-01-27,78,False
2019-02-03,62,False
2019-02-10,66,False
2019-02-17,64,False
2019-02-24,65,False
2019-03-03,66,False
2019-03-10,63,False
2019-03-17,61,False
2019-03-24,66,False
2019-03-31,68,False
2019-04-07,61,False
2019-04-14,65,False
2019-04-21,49,False
2019-04-28,60,False
2019-05-05,61,False
2019-05-12,65,False
2019-05-19,61,False
2019-05-26,62,False
2019-06-02,69,False
2019-06-09,68,False
2019-06-16,67,False
2019-06-23,67,False
2019-06-30,70,False
2019-07-07,64,False
2019-07-14,66,False
2019-07-21,65,False
2019-07-28,66,False
2019-08-04,60,False
2019-08-11,46,False
2019-08-18,51,False
2019-08-25,54,False
2019-09-01,64,False
2019-09-08,66,False
2019-09-15,62,False
2019-09-22,61,False
2019-09-29,65,False
2019-10-06,60,False
2019-10-13,58,False
2019-10-20,55,False
2019-10-27,51,False
2019-11-03,56,False
2019-11-10,55,False
2019-11-17,51,False
2019-11-24,59,False
2019-12-01,62,False
2019-12-08,73,False
2019-12-15,100,False
2019-12-22,53,False
2019-12-29,51,False
2020-01-05,55,False
2020-01-12,55,False
2020-01-19,55,False
2020-01-26,53,False
2020-02-02,54,False
2020-02-09,56,False
2020-02-16,58,False
2020-02-23,51,False
2020-03-01,52,False
2020-03-08,48,False
2020-03-15,50,False
2020-03-22,55,False
2020-03-29,64,False
2020-04-05,57,False
2020-04-12,58,False
2020-04-19,64,False
2020-04-26,57,True
