date,Gartengestaltung,isPartial
2018-01-07,26,False
2018-01-14,0,False
2018-01-21,13,False
2018-01-28,13,False
2018-02-04,13,False
2018-02-11,27,False
2018-02-18,41,False
2018-02-25,55,False
2018-03-04,53,False
2018-03-11,26,False
2018-03-18,66,False
2018-03-25,42,False
2018-04-01,43,False
2018-04-08,60,False
2018-04-15,47,False
2018-04-22,79,False
2018-04-29,30,False
2018-05-06,43,False
2018-05-13,26,False
2018-05-20,14,False
2018-05-27,100,False
2018-06-03,27,False
2018-06-10,26,False
2018-06-17,14,False
2018-06-24,13,False
2018-07-01,40,False
2018-07-08,27,False
2018-07-15,42,False
2018-07-22,28,False
2018-07-29,56,False
2018-08-05,27,False
2018-08-12,56,False
2018-08-19,53,False
2018-08-26,13,False
2018-09-02,0,False
2018-09-09,14,False
2018-09-16,40,False
2018-09-23,14,False
2018-09-30,15,False
2018-10-07,32,False
2018-10-14,17,False
2018-10-21,16,False
2018-10-28,15,False
2018-11-04,14,False
2018-11-11,16,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,31,False
2018-12-09,16,False
2018-12-16,0,False
2018-12-23,37,False
2018-12-30,14,False
2019-01-06,0,False
2019-01-13,25,False
2019-01-20,12,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,37,False
2019-02-17,39,False
2019-02-24,50,False
2019-03-03,26,False
2019-03-10,64,False
2019-03-17,51,False
2019-03-24,77,False
2019-03-31,39,False
2019-04-07,38,False
2019-04-14,41,False
2019-04-21,27,False
2019-04-28,51,False
2019-05-05,37,False
2019-05-12,25,False
2019-05-19,0,False
2019-05-26,25,False
2019-06-02,0,False
2019-06-09,39,False
2019-06-16,38,False
2019-06-23,39,False
2019-06-30,62,False
2019-07-07,62,False
2019-07-14,40,False
2019-07-21,13,False
2019-07-28,0,False
2019-08-04,27,False
2019-08-11,53,False
2019-08-18,51,False
2019-08-25,0,False
2019-09-01,12,False
2019-09-08,13,False
2019-09-15,14,False
2019-09-22,13,False
2019-09-29,13,False
2019-10-06,54,False
2019-10-13,14,False
2019-10-20,28,False
2019-10-27,0,False
2019-11-03,13,False
2019-11-10,40,False
2019-11-17,0,False
2019-11-24,13,False
2019-12-01,14,False
2019-12-08,14,False
2019-12-15,0,False
2019-12-22,15,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,11,False
2020-01-19,13,False
2020-01-26,12,False
2020-02-02,0,False
2020-02-09,34,False
2020-02-16,13,False
2020-02-23,0,False
2020-03-01,37,False
2020-03-08,36,False
2020-03-15,58,False
2020-03-22,29,False
2020-03-29,49,False
2020-04-05,55,False
2020-04-12,52,False
2020-04-19,72,False
2020-04-26,52,False
2020-05-03,21,False
2020-05-10,33,False
2020-05-17,23,False
2020-05-24,33,False
2020-05-31,21,False
2020-06-07,23,False
2020-06-14,64,False
2020-06-21,47,False
2020-06-28,0,False
2020-07-05,13,False
