date,Envíos,isPartial
2018-01-07,33,False
2018-01-14,100,False
2018-01-21,25,False
2018-01-28,24,False
2018-02-04,24,False
2018-02-11,0,False
2018-02-18,25,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,26,False
2018-04-08,24,False
2018-04-15,25,False
2018-04-22,0,False
2018-04-29,24,False
2018-05-06,24,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,23,False
2018-06-17,25,False
2018-06-24,0,False
2018-07-01,25,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,25,False
2018-07-29,0,False
2018-08-05,23,False
2018-08-12,24,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,24,False
2018-09-16,25,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,25,False
2018-10-28,38,False
2018-11-04,0,False
2018-11-11,25,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,25,False
2018-12-09,25,False
2018-12-16,0,False
2018-12-23,27,False
2018-12-30,27,False
2019-01-06,25,False
2019-01-13,23,False
2019-01-20,22,False
2019-01-27,23,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,25,False
2019-03-03,0,False
2019-03-10,24,False
2019-03-17,24,False
2019-03-24,0,False
2019-03-31,24,False
2019-04-07,24,False
2019-04-14,0,False
2019-04-21,24,False
2019-04-28,24,False
2019-05-05,48,False
2019-05-12,23,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,23,False
2019-06-09,31,False
2019-06-16,24,False
2019-06-23,71,False
2019-06-30,0,False
2019-07-07,24,False
2019-07-14,24,False
2019-07-21,0,False
2019-07-28,24,False
2019-08-04,34,False
2019-08-11,23,False
2019-08-18,0,False
2019-08-25,22,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,22,False
2019-09-29,22,False
2019-10-06,0,False
2019-10-13,22,False
2019-10-20,33,False
2019-10-27,22,False
2019-11-03,21,False
2019-11-10,21,False
2019-11-17,65,False
2019-11-24,0,False
2019-12-01,22,False
2019-12-08,45,False
2019-12-15,36,False
2019-12-22,34,False
2019-12-29,38,False
2020-01-05,22,False
2020-01-12,20,False
2020-01-19,21,False
2020-01-26,20,False
2020-02-02,21,False
2020-02-09,21,False
2020-02-16,21,False
2020-02-23,0,False
2020-03-01,26,False
2020-03-08,0,False
2020-03-15,28,False
2020-03-22,35,False
2020-03-29,34,False
2020-04-05,36,False
2020-04-12,29,False
2020-04-19,17,False
2020-04-26,28,False
2020-05-03,25,False
2020-05-10,41,False
2020-05-17,43,True
