date,decorazioni per matrimonio,isPartial
2018-01-07,32,False
2018-01-14,32,False
2018-01-21,64,False
2018-01-28,31,False
2018-02-04,0,False
2018-02-11,32,False
2018-02-18,61,False
2018-02-25,31,False
2018-03-04,46,False
2018-03-11,62,False
2018-03-18,0,False
2018-03-25,66,False
2018-04-01,34,False
2018-04-08,32,False
2018-04-15,33,False
2018-04-22,67,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,47,False
2018-05-20,79,False
2018-05-27,48,False
2018-06-03,64,False
2018-06-10,30,False
2018-06-17,79,False
2018-06-24,64,False
2018-07-01,31,False
2018-07-08,63,False
2018-07-15,32,False
2018-07-22,32,False
2018-07-29,0,False
2018-08-05,100,False
2018-08-12,0,False
2018-08-19,35,False
2018-08-26,81,False
2018-09-02,31,False
2018-09-09,62,False
2018-09-16,46,False
2018-09-23,31,False
2018-09-30,93,False
2018-10-07,32,False
2018-10-14,0,False
2018-10-21,47,False
2018-10-28,0,False
2018-11-04,61,False
2018-11-11,32,False
2018-11-18,0,False
2018-11-25,32,False
2018-12-02,32,False
2018-12-09,0,False
2018-12-16,33,False
2018-12-23,0,False
2018-12-30,34,False
2019-01-06,48,False
2019-01-13,0,False
2019-01-20,30,False
2019-01-27,0,False
2019-02-03,30,False
2019-02-10,0,False
2019-02-17,62,False
2019-02-24,0,False
2019-03-03,32,False
2019-03-10,31,False
2019-03-17,31,False
2019-03-24,31,False
2019-03-31,0,False
2019-04-07,77,False
2019-04-14,0,False
2019-04-21,34,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,45,False
2019-05-19,0,False
2019-05-26,58,False
2019-06-02,95,False
2019-06-09,63,False
2019-06-16,31,False
2019-06-23,32,False
2019-06-30,64,False
2019-07-07,0,False
2019-07-14,32,False
2019-07-21,64,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,36,False
2019-08-18,33,False
2019-08-25,30,False
2019-09-01,57,False
2019-09-08,45,False
2019-09-15,29,False
2019-09-22,29,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,28,False
2019-10-27,29,False
2019-11-03,56,False
2019-11-10,43,False
2019-11-17,0,False
2019-11-24,42,False
2019-12-01,29,False
2019-12-08,0,False
2019-12-15,30,False
2019-12-22,34,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,27,False
2020-01-19,27,False
2020-01-26,41,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,27,False
2020-02-23,26,False
2020-03-01,52,False
2020-03-08,25,False
2020-03-15,25,False
2020-03-22,23,False
2020-03-29,24,False
2020-04-05,0,False
2020-04-12,25,False
2020-04-19,47,False
2020-04-26,0,True
