date,Boden verlegen,isPartial
2018-01-07,24,False
2018-01-14,24,False
2018-01-21,0,False
2018-01-28,24,False
2018-02-04,24,False
2018-02-11,25,False
2018-02-18,24,False
2018-02-25,24,False
2018-03-04,24,False
2018-03-11,48,False
2018-03-18,25,False
2018-03-25,0,False
2018-04-01,44,False
2018-04-08,25,False
2018-04-15,35,False
2018-04-22,77,False
2018-04-29,26,False
2018-05-06,39,False
2018-05-13,25,False
2018-05-20,34,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,25,False
2018-06-17,25,False
2018-06-24,53,False
2018-07-01,27,False
2018-07-08,40,False
2018-07-15,27,False
2018-07-22,40,False
2018-07-29,26,False
2018-08-05,38,False
2018-08-12,0,False
2018-08-19,25,False
2018-08-26,41,False
2018-09-02,25,False
2018-09-09,25,False
2018-09-16,100,False
2018-09-23,25,False
2018-09-30,40,False
2018-10-07,25,False
2018-10-14,33,False
2018-10-21,36,False
2018-10-28,36,False
2018-11-04,35,False
2018-11-11,32,False
2018-11-18,49,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,43,False
2018-12-16,26,False
2018-12-23,30,False
2018-12-30,54,False
2019-01-06,25,False
2019-01-13,24,False
2019-01-20,0,False
2019-01-27,24,False
2019-02-03,32,False
2019-02-10,24,False
2019-02-17,48,False
2019-02-24,25,False
2019-03-03,48,False
2019-03-10,24,False
2019-03-17,37,False
2019-03-24,37,False
2019-03-31,24,False
2019-04-07,49,False
2019-04-14,52,False
2019-04-21,52,False
2019-04-28,25,False
2019-05-05,47,False
2019-05-12,24,False
2019-05-19,24,False
2019-05-26,25,False
2019-06-02,48,False
2019-06-09,73,False
2019-06-16,25,False
2019-06-23,50,False
2019-06-30,25,False
2019-07-07,25,False
2019-07-14,39,False
2019-07-21,27,False
2019-07-28,0,False
2019-08-04,51,False
2019-08-11,24,False
2019-08-18,24,False
2019-08-25,24,False
2019-09-01,24,False
2019-09-08,0,False
2019-09-15,25,False
2019-09-22,36,False
2019-09-29,38,False
2019-10-06,32,False
2019-10-13,45,False
2019-10-20,45,False
2019-10-27,34,False
2019-11-03,34,False
2019-11-10,0,False
2019-11-17,23,False
2019-11-24,22,False
2019-12-01,34,False
2019-12-08,23,False
2019-12-15,23,False
2019-12-22,27,False
2019-12-29,26,False
2020-01-05,34,False
2020-01-12,22,False
2020-01-19,55,False
2020-01-26,36,False
2020-02-02,21,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,22,False
2020-03-01,35,False
2020-03-08,20,False
2020-03-15,30,False
2020-03-22,30,False
2020-03-29,60,False
2020-04-05,66,False
2020-04-12,28,False
2020-04-19,41,False
2020-04-26,41,False
2020-05-03,20,False
2020-05-10,20,False
