date,Boden verlegen,isPartial
2018-01-07,25,False
2018-01-14,50,False
2018-01-21,50,False
2018-01-28,26,False
2018-02-04,25,False
2018-02-11,59,False
2018-02-18,0,False
2018-02-25,50,False
2018-03-04,25,False
2018-03-11,38,False
2018-03-18,65,False
2018-03-25,39,False
2018-04-01,26,False
2018-04-08,26,False
2018-04-15,26,False
2018-04-22,25,False
2018-04-29,39,False
2018-05-06,53,False
2018-05-13,0,False
2018-05-20,26,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,25,False
2018-06-17,0,False
2018-06-24,34,False
2018-07-01,40,False
2018-07-08,35,False
2018-07-15,42,False
2018-07-22,36,False
2018-07-29,34,False
2018-08-05,24,False
2018-08-12,24,False
2018-08-19,48,False
2018-08-26,25,False
2018-09-02,0,False
2018-09-09,25,False
2018-09-16,75,False
2018-09-23,25,False
2018-09-30,26,False
2018-10-07,39,False
2018-10-14,25,False
2018-10-21,24,False
2018-10-28,24,False
2018-11-04,48,False
2018-11-11,25,False
2018-11-18,36,False
2018-11-25,49,False
2018-12-02,24,False
2018-12-09,50,False
2018-12-16,38,False
2018-12-23,28,False
2018-12-30,25,False
2019-01-06,23,False
2019-01-13,35,False
2019-01-20,35,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,72,False
2019-02-17,40,False
2019-02-24,49,False
2019-03-03,24,False
2019-03-10,23,False
2019-03-17,48,False
2019-03-24,24,False
2019-03-31,24,False
2019-04-07,34,False
2019-04-14,40,False
2019-04-21,25,False
2019-04-28,24,False
2019-05-05,24,False
2019-05-12,36,False
2019-05-19,32,False
2019-05-26,24,False
2019-06-02,46,False
2019-06-09,24,False
2019-06-16,24,False
2019-06-23,24,False
2019-06-30,24,False
2019-07-07,49,False
2019-07-14,26,False
2019-07-21,0,False
2019-07-28,100,False
2019-08-04,25,False
2019-08-11,22,False
2019-08-18,35,False
2019-08-25,34,False
2019-09-01,23,False
2019-09-08,23,False
2019-09-15,46,False
2019-09-22,23,False
2019-09-29,46,False
2019-10-06,46,False
2019-10-13,23,False
2019-10-20,69,False
2019-10-27,33,False
2019-11-03,32,False
2019-11-10,66,False
2019-11-17,44,False
2019-11-24,43,False
2019-12-01,32,False
2019-12-08,22,False
2019-12-15,22,False
2019-12-22,36,False
2019-12-29,23,False
2020-01-05,52,False
2020-01-12,0,False
2020-01-19,32,False
2020-01-26,56,False
2020-02-02,41,False
2020-02-09,41,False
2020-02-16,21,False
2020-02-23,31,False
2020-03-01,52,False
2020-03-08,20,False
2020-03-15,19,False
2020-03-22,26,False
2020-03-29,19,False
2020-04-05,35,False
2020-04-12,20,False
2020-04-19,19,False
2020-04-26,47,False
2020-05-03,48,False
2020-05-10,44,False
