date,piscine intérieure,isPartial
2018-01-07,50,False
2018-01-14,33,False
2018-01-21,33,False
2018-01-28,100,False
2018-02-04,49,False
2018-02-11,33,False
2018-02-18,34,False
2018-02-25,34,False
2018-03-04,0,False
2018-03-11,68,False
2018-03-18,69,False
2018-03-25,0,False
2018-04-01,35,False
2018-04-08,34,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,36,False
2018-05-06,0,False
2018-05-13,35,False
2018-05-20,35,False
2018-05-27,0,False
2018-06-03,67,False
2018-06-10,0,False
2018-06-17,34,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,35,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,37,False
2018-08-05,0,False
2018-08-12,94,False
2018-08-19,36,False
2018-08-26,0,False
2018-09-02,36,False
2018-09-09,35,False
2018-09-16,58,False
2018-09-23,35,False
2018-09-30,52,False
2018-10-07,53,False
2018-10-14,48,False
2018-10-21,36,False
2018-10-28,35,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,32,False
2018-12-02,32,False
2018-12-09,49,False
2018-12-16,67,False
2018-12-23,74,False
2018-12-30,35,False
2019-01-06,48,False
2019-01-13,0,False
2019-01-20,64,False
2019-01-27,32,False
2019-02-03,48,False
2019-02-10,34,False
2019-02-17,35,False
2019-02-24,33,False
2019-03-03,47,False
2019-03-10,66,False
2019-03-17,57,False
2019-03-24,66,False
2019-03-31,34,False
2019-04-07,36,False
2019-04-14,72,False
2019-04-21,68,False
2019-04-28,33,False
2019-05-05,33,False
2019-05-12,51,False
2019-05-19,51,False
2019-05-26,34,False
2019-06-02,0,False
2019-06-09,33,False
2019-06-16,34,False
2019-06-23,33,False
2019-06-30,33,False
2019-07-07,66,False
2019-07-14,34,False
2019-07-21,34,False
2019-07-28,36,False
2019-08-04,35,False
2019-08-11,50,False
2019-08-18,35,False
2019-08-25,32,False
2019-09-01,97,False
2019-09-08,54,False
2019-09-15,48,False
2019-09-22,46,False
2019-09-29,61,False
2019-10-06,62,False
2019-10-13,41,False
2019-10-20,61,False
2019-10-27,45,False
2019-11-03,29,False
2019-11-10,40,False
2019-11-17,89,False
2019-11-24,28,False
2019-12-01,0,False
2019-12-08,29,False
2019-12-15,49,False
2019-12-22,33,False
2019-12-29,53,False
2020-01-05,29,False
2020-01-12,75,False
2020-01-19,78,False
2020-01-26,85,False
2020-02-02,29,False
2020-02-09,57,False
2020-02-16,29,False
2020-02-23,42,False
2020-03-01,41,False
2020-03-08,27,False
2020-03-15,25,False
2020-03-22,24,False
2020-03-29,46,False
2020-04-05,24,False
2020-04-12,25,False
2020-04-19,24,False
2020-04-26,22,False
2020-05-03,0,False
2020-05-10,25,False
2020-05-17,63,True
