date,Regenwasser aufbereiten,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,97,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,47,False
2018-03-18,48,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,49,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,100,False
2018-05-06,75,False
2018-05-13,48,False
2018-05-20,0,False
2018-05-27,49,False
2018-06-03,48,False
2018-06-10,47,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,48,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,50,False
2018-07-29,49,False
2018-08-05,0,False
2018-08-12,50,False
2018-08-19,49,False
2018-08-26,49,False
2018-09-02,48,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,49,False
2018-09-30,48,False
2018-10-07,48,False
2018-10-14,48,False
2018-10-21,0,False
2018-10-28,47,False
2018-11-04,0,False
2018-11-11,94,False
2018-11-18,0,False
2018-11-25,47,False
2018-12-02,46,False
2018-12-09,46,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,44,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,45,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,45,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,45,False
2019-06-09,0,False
2019-06-16,47,False
2019-06-23,46,False
2019-06-30,46,False
2019-07-07,0,False
2019-07-14,47,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,46,False
2019-08-18,93,False
2019-08-25,46,False
2019-09-01,0,False
2019-09-08,46,False
2019-09-15,0,False
2019-09-22,44,False
2019-09-29,44,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,41,False
2019-11-10,42,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,42,False
2019-12-15,43,False
2019-12-22,0,False
2019-12-29,46,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,39,False
2020-02-16,0,False
2020-02-23,39,False
2020-03-01,0,False
2020-03-08,56,False
2020-03-15,73,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,80,False
2020-04-12,0,False
2020-04-19,37,False
2020-04-26,36,False
2020-05-03,0,False
2020-05-10,37,False
