date,Pvc Bodenbelag,isPartial
2018-01-07,26,False
2018-01-14,50,False
2018-01-21,25,False
2018-01-28,26,False
2018-02-04,34,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,64,False
2018-03-11,25,False
2018-03-18,52,False
2018-03-25,35,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,80,False
2018-04-22,25,False
2018-04-29,26,False
2018-05-06,27,False
2018-05-13,25,False
2018-05-20,26,False
2018-05-27,25,False
2018-06-03,26,False
2018-06-10,0,False
2018-06-17,50,False
2018-06-24,0,False
2018-07-01,79,False
2018-07-08,0,False
2018-07-15,56,False
2018-07-22,27,False
2018-07-29,26,False
2018-08-05,24,False
2018-08-12,24,False
2018-08-19,0,False
2018-08-26,25,False
2018-09-02,25,False
2018-09-09,0,False
2018-09-16,25,False
2018-09-23,26,False
2018-09-30,26,False
2018-10-07,27,False
2018-10-14,38,False
2018-10-21,24,False
2018-10-28,65,False
2018-11-04,48,False
2018-11-11,25,False
2018-11-18,24,False
2018-11-25,25,False
2018-12-02,24,False
2018-12-09,100,False
2018-12-16,38,False
2018-12-23,28,False
2018-12-30,26,False
2019-01-06,23,False
2019-01-13,35,False
2019-01-20,23,False
2019-01-27,24,False
2019-02-03,24,False
2019-02-10,32,False
2019-02-17,24,False
2019-02-24,25,False
2019-03-03,72,False
2019-03-10,23,False
2019-03-17,36,False
2019-03-24,25,False
2019-03-31,37,False
2019-04-07,26,False
2019-04-14,54,False
2019-04-21,25,False
2019-04-28,24,False
2019-05-05,24,False
2019-05-12,37,False
2019-05-19,48,False
2019-05-26,24,False
2019-06-02,23,False
2019-06-09,24,False
2019-06-16,48,False
2019-06-23,24,False
2019-06-30,36,False
2019-07-07,25,False
2019-07-14,77,False
2019-07-21,27,False
2019-07-28,25,False
2019-08-04,50,False
2019-08-11,23,False
2019-08-18,24,False
2019-08-25,35,False
2019-09-01,23,False
2019-09-08,0,False
2019-09-15,35,False
2019-09-22,58,False
2019-09-29,24,False
2019-10-06,70,False
2019-10-13,46,False
2019-10-20,53,False
2019-10-27,22,False
2019-11-03,22,False
2019-11-10,37,False
2019-11-17,22,False
2019-11-24,43,False
2019-12-01,22,False
2019-12-08,0,False
2019-12-15,34,False
2019-12-22,24,False
2019-12-29,23,False
2020-01-05,21,False
2020-01-12,41,False
2020-01-19,21,False
2020-01-26,28,False
2020-02-02,42,False
2020-02-09,20,False
2020-02-16,21,False
2020-02-23,42,False
2020-03-01,21,False
2020-03-08,32,False
2020-03-15,59,False
2020-03-22,59,False
2020-03-29,45,False
2020-04-05,32,False
2020-04-12,20,False
2020-04-19,19,False
2020-04-26,66,False
2020-05-03,26,False
2020-05-10,32,False
