date,Pvc Bodenbelag,isPartial
2018-01-07,25,False
2018-01-14,24,False
2018-01-21,49,False
2018-01-28,24,False
2018-02-04,0,False
2018-02-11,25,False
2018-02-18,25,False
2018-02-25,0,False
2018-03-04,37,False
2018-03-11,25,False
2018-03-18,26,False
2018-03-25,27,False
2018-04-01,28,False
2018-04-08,39,False
2018-04-15,0,False
2018-04-22,27,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,26,False
2018-05-27,27,False
2018-06-03,0,False
2018-06-10,26,False
2018-06-17,26,False
2018-06-24,27,False
2018-07-01,27,False
2018-07-08,27,False
2018-07-15,0,False
2018-07-22,28,False
2018-07-29,54,False
2018-08-05,26,False
2018-08-12,0,False
2018-08-19,39,False
2018-08-26,0,False
2018-09-02,50,False
2018-09-09,25,False
2018-09-16,52,False
2018-09-23,26,False
2018-09-30,27,False
2018-10-07,39,False
2018-10-14,0,False
2018-10-21,33,False
2018-10-28,25,False
2018-11-04,24,False
2018-11-11,25,False
2018-11-18,25,False
2018-11-25,27,False
2018-12-02,26,False
2018-12-09,26,False
2018-12-16,0,False
2018-12-23,52,False
2018-12-30,28,False
2019-01-06,26,False
2019-01-13,25,False
2019-01-20,24,False
2019-01-27,49,False
2019-02-03,25,False
2019-02-10,0,False
2019-02-17,100,False
2019-02-24,0,False
2019-03-03,37,False
2019-03-10,25,False
2019-03-17,26,False
2019-03-24,50,False
2019-03-31,25,False
2019-04-07,25,False
2019-04-14,41,False
2019-04-21,27,False
2019-04-28,26,False
2019-05-05,24,False
2019-05-12,33,False
2019-05-19,24,False
2019-05-26,26,False
2019-06-02,0,False
2019-06-09,25,False
2019-06-16,39,False
2019-06-23,0,False
2019-06-30,26,False
2019-07-07,26,False
2019-07-14,27,False
2019-07-21,0,False
2019-07-28,27,False
2019-08-04,26,False
2019-08-11,24,False
2019-08-18,25,False
2019-08-25,25,False
2019-09-01,0,False
2019-09-08,25,False
2019-09-15,26,False
2019-09-22,37,False
2019-09-29,65,False
2019-10-06,25,False
2019-10-13,0,False
2019-10-20,23,False
2019-10-27,23,False
2019-11-03,23,False
2019-11-10,23,False
2019-11-17,47,False
2019-11-24,23,False
2019-12-01,24,False
2019-12-08,23,False
2019-12-15,24,False
2019-12-22,28,False
2019-12-29,26,False
2020-01-05,23,False
2020-01-12,22,False
2020-01-19,0,False
2020-01-26,22,False
2020-02-02,33,False
2020-02-09,22,False
2020-02-16,23,False
2020-02-23,45,False
2020-03-01,44,False
2020-03-08,21,False
2020-03-15,21,False
2020-03-22,0,False
2020-03-29,41,False
2020-04-05,23,False
2020-04-12,43,False
2020-04-19,32,False
2020-04-26,42,False
2020-05-03,21,False
2020-05-10,63,False
