date,Installation climatisation,isPartial
2018-01-07,6,False
2018-01-14,3,False
2018-01-21,5,False
2018-01-28,7,False
2018-02-04,6,False
2018-02-11,5,False
2018-02-18,4,False
2018-02-25,6,False
2018-03-04,3,False
2018-03-11,7,False
2018-03-18,4,False
2018-03-25,4,False
2018-04-01,4,False
2018-04-08,4,False
2018-04-15,10,False
2018-04-22,11,False
2018-04-29,6,False
2018-05-06,8,False
2018-05-13,8,False
2018-05-20,7,False
2018-05-27,7,False
2018-06-03,5,False
2018-06-10,8,False
2018-06-17,10,False
2018-06-24,13,False
2018-07-01,27,False
2018-07-08,13,False
2018-07-15,14,False
2018-07-22,29,False
2018-07-29,43,False
2018-08-05,41,False
2018-08-12,6,False
2018-08-19,11,False
2018-08-26,4,False
2018-09-02,4,False
2018-09-09,5,False
2018-09-16,7,False
2018-09-23,8,False
2018-09-30,11,False
2018-10-07,5,False
2018-10-14,9,False
2018-10-21,6,False
2018-10-28,5,False
2018-11-04,8,False
2018-11-11,2,False
2018-11-18,7,False
2018-11-25,5,False
2018-12-02,3,False
2018-12-09,3,False
2018-12-16,9,False
2018-12-23,3,False
2018-12-30,12,False
2019-01-06,5,False
2019-01-13,6,False
2019-01-20,4,False
2019-01-27,5,False
2019-02-03,6,False
2019-02-10,5,False
2019-02-17,5,False
2019-02-24,8,False
2019-03-03,11,False
2019-03-10,7,False
2019-03-17,11,False
2019-03-24,6,False
2019-03-31,9,False
2019-04-07,7,False
2019-04-14,8,False
2019-04-21,15,False
2019-04-28,9,False
2019-05-05,5,False
2019-05-12,16,False
2019-05-19,5,False
2019-05-26,11,False
2019-06-02,26,False
2019-06-09,13,False
2019-06-16,27,False
2019-06-23,100,False
2019-06-30,58,False
2019-07-07,20,False
2019-07-14,14,False
2019-07-21,49,False
2019-07-28,10,False
2019-08-04,9,False
2019-08-11,16,False
2019-08-18,7,False
2019-08-25,16,False
2019-09-01,9,False
2019-09-08,5,False
2019-09-15,9,False
2019-09-22,9,False
2019-09-29,11,False
2019-10-06,7,False
2019-10-13,8,False
2019-10-20,10,False
2019-10-27,8,False
2019-11-03,5,False
2019-11-10,6,False
2019-11-17,5,False
2019-11-24,8,False
2019-12-01,7,False
2019-12-08,6,False
2019-12-15,9,False
2019-12-22,3,False
2019-12-29,8,False
2020-01-05,7,False
2020-01-12,8,False
2020-01-19,11,False
2020-01-26,13,False
2020-02-02,11,False
2020-02-09,13,False
2020-02-16,9,False
2020-02-23,7,False
2020-03-01,9,False
2020-03-08,9,False
2020-03-15,3,False
2020-03-22,2,False
2020-03-29,5,False
2020-04-05,9,False
2020-04-12,10,False
2020-04-19,12,False
2020-04-26,9,False
2020-05-03,19,False
2020-05-10,18,False
2020-05-17,37,False
2020-05-24,38,False
2020-05-31,24,False
2020-06-07,18,False
2020-06-14,20,False
2020-06-21,18,True
