date,Installation climatisation,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,39,False
2018-02-04,40,False
2018-02-11,0,False
2018-02-18,42,False
2018-02-25,40,False
2018-03-04,39,False
2018-03-11,41,False
2018-03-18,40,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,40,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,36,False
2018-06-17,40,False
2018-06-24,40,False
2018-07-01,38,False
2018-07-08,58,False
2018-07-15,39,False
2018-07-22,78,False
2018-07-29,63,False
2018-08-05,91,False
2018-08-12,75,False
2018-08-19,0,False
2018-08-26,76,False
2018-09-02,39,False
2018-09-09,0,False
2018-09-16,40,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,41,False
2018-10-21,42,False
2018-10-28,40,False
2018-11-04,39,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,40,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,43,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,38,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,43,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,35,False
2019-04-14,0,False
2019-04-21,35,False
2019-04-28,33,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,33,False
2019-05-26,0,False
2019-06-02,31,False
2019-06-09,48,False
2019-06-16,33,False
2019-06-23,100,False
2019-06-30,85,False
2019-07-07,31,False
2019-07-14,64,False
2019-07-21,68,False
2019-07-28,35,False
2019-08-04,33,False
2019-08-11,0,False
2019-08-18,34,False
2019-08-25,65,False
2019-09-01,0,False
2019-09-08,32,False
2019-09-15,0,False
2019-09-22,30,False
2019-09-29,30,False
2019-10-06,0,False
2019-10-13,33,False
2019-10-20,33,False
2019-10-27,0,False
2019-11-03,30,False
2019-11-10,0,False
2019-11-17,33,False
2019-11-24,0,False
2019-12-01,33,False
2019-12-08,32,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,31,False
2020-01-12,0,False
2020-01-19,31,False
2020-01-26,30,False
2020-02-02,31,False
2020-02-09,30,False
2020-02-16,62,False
2020-02-23,30,False
2020-03-01,30,False
2020-03-08,29,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,53,False
2020-04-12,27,False
2020-04-19,27,False
2020-04-26,51,False
2020-05-03,53,False
2020-05-10,0,False
2020-05-17,39,False
2020-05-24,67,False
2020-05-31,89,False
2020-06-07,27,False
2020-06-14,28,False
