date,Installation climatisation,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,11,False
2018-02-04,11,False
2018-02-11,11,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,22,False
2018-03-11,11,False
2018-03-18,34,False
2018-03-25,12,False
2018-04-01,12,False
2018-04-08,12,False
2018-04-15,13,False
2018-04-22,16,False
2018-04-29,12,False
2018-05-06,13,False
2018-05-13,12,False
2018-05-20,18,False
2018-05-27,23,False
2018-06-03,0,False
2018-06-10,11,False
2018-06-17,12,False
2018-06-24,18,False
2018-07-01,41,False
2018-07-08,24,False
2018-07-15,25,False
2018-07-22,25,False
2018-07-29,30,False
2018-08-05,39,False
2018-08-12,13,False
2018-08-19,19,False
2018-08-26,12,False
2018-09-02,12,False
2018-09-09,0,False
2018-09-16,25,False
2018-09-23,16,False
2018-09-30,12,False
2018-10-07,0,False
2018-10-14,12,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,12,False
2018-11-11,24,False
2018-11-18,0,False
2018-11-25,12,False
2018-12-02,0,False
2018-12-09,12,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,12,False
2019-01-06,11,False
2019-01-13,11,False
2019-01-20,11,False
2019-01-27,16,False
2019-02-03,11,False
2019-02-10,11,False
2019-02-17,24,False
2019-02-24,0,False
2019-03-03,16,False
2019-03-10,0,False
2019-03-17,24,False
2019-03-24,22,False
2019-03-31,11,False
2019-04-07,16,False
2019-04-14,11,False
2019-04-21,15,False
2019-04-28,16,False
2019-05-05,0,False
2019-05-12,21,False
2019-05-19,18,False
2019-05-26,11,False
2019-06-02,27,False
2019-06-09,10,False
2019-06-16,39,False
2019-06-23,100,False
2019-06-30,63,False
2019-07-07,32,False
2019-07-14,11,False
2019-07-21,53,False
2019-07-28,23,False
2019-08-04,12,False
2019-08-11,18,False
2019-08-18,13,False
2019-08-25,12,False
2019-09-01,0,False
2019-09-08,16,False
2019-09-15,10,False
2019-09-22,10,False
2019-09-29,11,False
2019-10-06,0,False
2019-10-13,11,False
2019-10-20,14,False
2019-10-27,10,False
2019-11-03,20,False
2019-11-10,20,False
2019-11-17,10,False
2019-11-24,15,False
2019-12-01,10,False
2019-12-08,15,False
2019-12-15,10,False
2019-12-22,15,False
2019-12-29,11,False
2020-01-05,10,False
2020-01-12,0,False
2020-01-19,14,False
2020-01-26,9,False
2020-02-02,9,False
2020-02-09,9,False
2020-02-16,15,False
2020-02-23,18,False
2020-03-01,19,False
2020-03-08,18,False
2020-03-15,9,False
2020-03-22,8,False
2020-03-29,0,False
2020-04-05,9,False
2020-04-12,13,False
2020-04-19,20,False
2020-04-26,19,False
2020-05-03,39,False
2020-05-10,9,False
2020-05-17,40,False
2020-05-24,30,False
2020-05-31,26,False
2020-06-07,20,False
2020-06-14,32,False
2020-06-21,0,True
