date,Lüftungsanlage,isPartial
2018-01-07,24,False
2018-01-14,24,False
2018-01-21,47,False
2018-01-28,71,False
2018-02-04,63,False
2018-02-11,48,False
2018-02-18,24,False
2018-02-25,36,False
2018-03-04,35,False
2018-03-11,47,False
2018-03-18,24,False
2018-03-25,51,False
2018-04-01,0,False
2018-04-08,25,False
2018-04-15,38,False
2018-04-22,25,False
2018-04-29,34,False
2018-05-06,26,False
2018-05-13,25,False
2018-05-20,0,False
2018-05-27,37,False
2018-06-03,48,False
2018-06-10,47,False
2018-06-17,48,False
2018-06-24,25,False
2018-07-01,100,False
2018-07-08,26,False
2018-07-15,54,False
2018-07-22,28,False
2018-07-29,29,False
2018-08-05,28,False
2018-08-12,42,False
2018-08-19,0,False
2018-08-26,42,False
2018-09-02,25,False
2018-09-09,50,False
2018-09-16,25,False
2018-09-23,25,False
2018-09-30,38,False
2018-10-07,21,False
2018-10-14,25,False
2018-10-21,0,False
2018-10-28,58,False
2018-11-04,55,False
2018-11-11,24,False
2018-11-18,36,False
2018-11-25,24,False
2018-12-02,32,False
2018-12-09,25,False
2018-12-16,26,False
2018-12-23,0,False
2018-12-30,28,False
2019-01-06,46,False
2019-01-13,41,False
2019-01-20,32,False
2019-01-27,47,False
2019-02-03,24,False
2019-02-10,24,False
2019-02-17,47,False
2019-02-24,23,False
2019-03-03,39,False
2019-03-10,23,False
2019-03-17,24,False
2019-03-24,0,False
2019-03-31,24,False
2019-04-07,58,False
2019-04-14,0,False
2019-04-21,27,False
2019-04-28,29,False
2019-05-05,47,False
2019-05-12,24,False
2019-05-19,24,False
2019-05-26,41,False
2019-06-02,42,False
2019-06-09,37,False
2019-06-16,24,False
2019-06-23,25,False
2019-06-30,25,False
2019-07-07,0,False
2019-07-14,51,False
2019-07-21,39,False
2019-07-28,37,False
2019-08-04,0,False
2019-08-11,24,False
2019-08-18,24,False
2019-08-25,23,False
2019-09-01,45,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,47,False
2019-09-29,42,False
2019-10-06,48,False
2019-10-13,0,False
2019-10-20,46,False
2019-10-27,22,False
2019-11-03,39,False
2019-11-10,23,False
2019-11-17,45,False
2019-11-24,0,False
2019-12-01,21,False
2019-12-08,38,False
2019-12-15,35,False
2019-12-22,30,False
2019-12-29,24,False
2020-01-05,41,False
2020-01-12,43,False
2020-01-19,0,False
2020-01-26,22,False
2020-02-02,23,False
2020-02-09,39,False
2020-02-16,22,False
2020-02-23,21,False
2020-03-01,20,False
2020-03-08,0,False
2020-03-15,31,False
2020-03-22,21,False
2020-03-29,42,False
2020-04-05,21,False
2020-04-12,22,False
2020-04-19,21,False
2020-04-26,31,False
2020-05-03,0,False
2020-05-10,41,False
2020-05-17,0,True
