date,Lüftungsanlage,isPartial
2018-01-07,26,False
2018-01-14,25,False
2018-01-21,38,False
2018-01-28,100,False
2018-02-04,26,False
2018-02-11,25,False
2018-02-18,24,False
2018-02-25,41,False
2018-03-04,25,False
2018-03-11,25,False
2018-03-18,25,False
2018-03-25,26,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,26,False
2018-04-22,37,False
2018-04-29,27,False
2018-05-06,0,False
2018-05-13,26,False
2018-05-20,0,False
2018-05-27,33,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,25,False
2018-06-24,26,False
2018-07-01,0,False
2018-07-08,26,False
2018-07-15,0,False
2018-07-22,28,False
2018-07-29,70,False
2018-08-05,53,False
2018-08-12,52,False
2018-08-19,26,False
2018-08-26,26,False
2018-09-02,0,False
2018-09-09,26,False
2018-09-16,26,False
2018-09-23,26,False
2018-09-30,0,False
2018-10-07,28,False
2018-10-14,0,False
2018-10-21,24,False
2018-10-28,25,False
2018-11-04,0,False
2018-11-11,50,False
2018-11-18,0,False
2018-11-25,25,False
2018-12-02,25,False
2018-12-09,25,False
2018-12-16,39,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,36,False
2019-01-13,24,False
2019-01-20,35,False
2019-01-27,24,False
2019-02-03,24,False
2019-02-10,24,False
2019-02-17,36,False
2019-02-24,0,False
2019-03-03,25,False
2019-03-10,50,False
2019-03-17,25,False
2019-03-24,25,False
2019-03-31,33,False
2019-04-07,0,False
2019-04-14,27,False
2019-04-21,27,False
2019-04-28,25,False
2019-05-05,0,False
2019-05-12,26,False
2019-05-19,25,False
2019-05-26,26,False
2019-06-02,26,False
2019-06-09,0,False
2019-06-16,27,False
2019-06-23,0,False
2019-06-30,28,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,30,False
2019-08-04,28,False
2019-08-11,0,False
2019-08-18,41,False
2019-08-25,55,False
2019-09-01,26,False
2019-09-08,27,False
2019-09-15,27,False
2019-09-22,37,False
2019-09-29,0,False
2019-10-06,27,False
2019-10-13,25,False
2019-10-20,0,False
2019-10-27,26,False
2019-11-03,36,False
2019-11-10,38,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,26,False
2019-12-08,26,False
2019-12-15,27,False
2019-12-22,37,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,23,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,22,False
2020-02-16,21,False
2020-02-23,34,False
2020-03-01,22,False
2020-03-08,20,False
2020-03-15,33,False
2020-03-22,28,False
2020-03-29,18,False
2020-04-05,0,False
2020-04-12,19,False
2020-04-19,19,False
2020-04-26,28,False
2020-05-03,18,False
2020-05-10,19,False
2020-05-17,0,True
