date,Lüftungsanlage,isPartial
2018-01-07,29,False
2018-01-14,48,False
2018-01-21,71,False
2018-01-28,28,False
2018-02-04,29,False
2018-02-11,29,False
2018-02-18,58,False
2018-02-25,43,False
2018-03-04,38,False
2018-03-11,38,False
2018-03-18,58,False
2018-03-25,29,False
2018-04-01,31,False
2018-04-08,30,False
2018-04-15,31,False
2018-04-22,29,False
2018-04-29,29,False
2018-05-06,30,False
2018-05-13,58,False
2018-05-20,30,False
2018-05-27,29,False
2018-06-03,29,False
2018-06-10,46,False
2018-06-17,27,False
2018-06-24,29,False
2018-07-01,0,False
2018-07-08,28,False
2018-07-15,29,False
2018-07-22,28,False
2018-07-29,28,False
2018-08-05,27,False
2018-08-12,27,False
2018-08-19,27,False
2018-08-26,28,False
2018-09-02,42,False
2018-09-09,56,False
2018-09-16,28,False
2018-09-23,43,False
2018-09-30,0,False
2018-10-07,61,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,28,False
2018-11-04,0,False
2018-11-11,28,False
2018-11-18,0,False
2018-11-25,28,False
2018-12-02,28,False
2018-12-09,57,False
2018-12-16,29,False
2018-12-23,46,False
2018-12-30,28,False
2019-01-06,0,False
2019-01-13,53,False
2019-01-20,0,False
2019-01-27,40,False
2019-02-03,0,False
2019-02-10,27,False
2019-02-17,0,False
2019-02-24,56,False
2019-03-03,26,False
2019-03-10,26,False
2019-03-17,0,False
2019-03-24,28,False
2019-03-31,56,False
2019-04-07,0,False
2019-04-14,29,False
2019-04-21,46,False
2019-04-28,26,False
2019-05-05,54,False
2019-05-12,27,False
2019-05-19,26,False
2019-05-26,40,False
2019-06-02,26,False
2019-06-09,26,False
2019-06-16,0,False
2019-06-23,26,False
2019-06-30,78,False
2019-07-07,26,False
2019-07-14,26,False
2019-07-21,36,False
2019-07-28,26,False
2019-08-04,25,False
2019-08-11,24,False
2019-08-18,25,False
2019-08-25,25,False
2019-09-01,24,False
2019-09-08,0,False
2019-09-15,25,False
2019-09-22,38,False
2019-09-29,25,False
2019-10-06,25,False
2019-10-13,37,False
2019-10-20,49,False
2019-10-27,32,False
2019-11-03,24,False
2019-11-10,24,False
2019-11-17,24,False
2019-11-24,48,False
2019-12-01,49,False
2019-12-08,24,False
2019-12-15,100,False
2019-12-22,27,False
2019-12-29,24,False
2020-01-05,0,False
2020-01-12,23,False
2020-01-19,47,False
2020-01-26,35,False
2020-02-02,35,False
2020-02-09,84,False
2020-02-16,23,False
2020-02-23,23,False
2020-03-01,46,False
2020-03-08,21,False
2020-03-15,27,False
2020-03-22,20,False
2020-03-29,20,False
2020-04-05,34,False
2020-04-12,21,False
2020-04-19,31,False
2020-04-26,20,False
2020-05-03,21,False
2020-05-10,20,False
2020-05-17,47,True
