date,Badumbau,isPartial
2018-01-07,35,False
2018-01-14,34,False
2018-01-21,35,False
2018-01-28,68,False
2018-02-04,72,False
2018-02-11,36,False
2018-02-18,0,False
2018-02-25,52,False
2018-03-04,59,False
2018-03-11,46,False
2018-03-18,35,False
2018-03-25,37,False
2018-04-01,37,False
2018-04-08,35,False
2018-04-15,36,False
2018-04-22,34,False
2018-04-29,54,False
2018-05-06,74,False
2018-05-13,35,False
2018-05-20,0,False
2018-05-27,46,False
2018-06-03,70,False
2018-06-10,33,False
2018-06-17,34,False
2018-06-24,36,False
2018-07-01,46,False
2018-07-08,34,False
2018-07-15,72,False
2018-07-22,54,False
2018-07-29,37,False
2018-08-05,74,False
2018-08-12,74,False
2018-08-19,36,False
2018-08-26,72,False
2018-09-02,71,False
2018-09-09,53,False
2018-09-16,47,False
2018-09-23,48,False
2018-09-30,0,False
2018-10-07,36,False
2018-10-14,36,False
2018-10-21,35,False
2018-10-28,46,False
2018-11-04,67,False
2018-11-11,34,False
2018-11-18,51,False
2018-11-25,67,False
2018-12-02,34,False
2018-12-09,34,False
2018-12-16,52,False
2018-12-23,40,False
2018-12-30,54,False
2019-01-06,66,False
2019-01-13,43,False
2019-01-20,32,False
2019-01-27,32,False
2019-02-03,65,False
2019-02-10,33,False
2019-02-17,50,False
2019-02-24,0,False
2019-03-03,55,False
2019-03-10,64,False
2019-03-17,34,False
2019-03-24,34,False
2019-03-31,33,False
2019-04-07,45,False
2019-04-14,36,False
2019-04-21,36,False
2019-04-28,50,False
2019-05-05,32,False
2019-05-12,79,False
2019-05-19,66,False
2019-05-26,51,False
2019-06-02,33,False
2019-06-09,34,False
2019-06-16,34,False
2019-06-23,34,False
2019-06-30,0,False
2019-07-07,66,False
2019-07-14,35,False
2019-07-21,63,False
2019-07-28,74,False
2019-08-04,74,False
2019-08-11,35,False
2019-08-18,52,False
2019-08-25,33,False
2019-09-01,49,False
2019-09-08,33,False
2019-09-15,51,False
2019-09-22,33,False
2019-09-29,55,False
2019-10-06,43,False
2019-10-13,33,False
2019-10-20,33,False
2019-10-27,32,False
2019-11-03,51,False
2019-11-10,41,False
2019-11-17,61,False
2019-11-24,30,False
2019-12-01,46,False
2019-12-08,30,False
2019-12-15,0,False
2019-12-22,36,False
2019-12-29,67,False
2020-01-05,60,False
2020-01-12,100,False
2020-01-19,40,False
2020-01-26,29,False
2020-02-02,87,False
2020-02-09,48,False
2020-02-16,45,False
2020-02-23,84,False
2020-03-01,85,False
2020-03-08,54,False
2020-03-15,53,False
2020-03-22,27,False
2020-03-29,53,False
2020-04-05,29,False
2020-04-12,37,False
2020-04-19,54,False
2020-04-26,26,False
2020-05-03,27,False
2020-05-10,45,False
