date,torta cacao,isPartial
2018-01-07,9,False
2018-01-14,21,False
2018-01-21,18,False
2018-01-28,14,False
2018-02-04,20,False
2018-02-11,23,False
2018-02-18,28,False
2018-02-25,29,False
2018-03-04,29,False
2018-03-11,36,False
2018-03-18,29,False
2018-03-25,19,False
2018-04-01,16,False
2018-04-08,15,False
2018-04-15,15,False
2018-04-22,18,False
2018-04-29,12,False
2018-05-06,13,False
2018-05-13,12,False
2018-05-20,10,False
2018-05-27,10,False
2018-06-03,20,False
2018-06-10,14,False
2018-06-17,10,False
2018-06-24,10,False
2018-07-01,0,False
2018-07-08,10,False
2018-07-15,5,False
2018-07-22,10,False
2018-07-29,5,False
2018-08-05,5,False
2018-08-12,9,False
2018-08-19,7,False
2018-08-26,16,False
2018-09-02,14,False
2018-09-09,5,False
2018-09-16,18,False
2018-09-23,16,False
2018-09-30,23,False
2018-10-07,5,False
2018-10-14,24,False
2018-10-21,15,False
2018-10-28,54,False
2018-11-04,24,False
2018-11-11,20,False
2018-11-18,10,False
2018-11-25,35,False
2018-12-02,32,False
2018-12-09,18,False
2018-12-16,11,False
2018-12-23,22,False
2018-12-30,25,False
2019-01-06,21,False
2019-01-13,26,False
2019-01-20,9,False
2019-01-27,23,False
2019-02-03,25,False
2019-02-10,30,False
2019-02-17,21,False
2019-02-24,21,False
2019-03-03,29,False
2019-03-10,9,False
2019-03-17,28,False
2019-03-24,19,False
2019-03-31,12,False
2019-04-07,14,False
2019-04-14,7,False
2019-04-21,10,False
2019-04-28,21,False
2019-05-05,9,False
2019-05-12,14,False
2019-05-19,12,False
2019-05-26,9,False
2019-06-02,7,False
2019-06-09,12,False
2019-06-16,5,False
2019-06-23,7,False
2019-06-30,7,False
2019-07-07,5,False
2019-07-14,5,False
2019-07-21,5,False
2019-07-28,10,False
2019-08-04,0,False
2019-08-11,5,False
2019-08-18,7,False
2019-08-25,15,False
2019-09-01,15,False
2019-09-08,25,False
2019-09-15,18,False
2019-09-22,22,False
2019-09-29,11,False
2019-10-06,20,False
2019-10-13,21,False
2019-10-20,15,False
2019-10-27,29,False
2019-11-03,24,False
2019-11-10,30,False
2019-11-17,16,False
2019-11-24,30,False
2019-12-01,16,False
2019-12-08,19,False
2019-12-15,17,False
2019-12-22,10,False
2019-12-29,12,False
2020-01-05,21,False
2020-01-12,13,False
2020-01-19,13,False
2020-01-26,16,False
2020-02-02,11,False
2020-02-09,22,False
2020-02-16,9,False
2020-02-23,9,False
2020-03-01,33,False
2020-03-08,52,False
2020-03-15,100,False
2020-03-22,89,False
2020-03-29,90,False
2020-04-05,65,False
2020-04-12,62,False
2020-04-19,46,False
2020-04-26,34,True
