date,torta cacao,isPartial
2018-01-07,15,False
2018-01-14,31,False
2018-01-21,26,False
2018-01-28,19,False
2018-02-04,30,False
2018-02-11,30,False
2018-02-18,47,False
2018-02-25,57,False
2018-03-04,22,False
2018-03-11,18,False
2018-03-18,38,False
2018-03-25,23,False
2018-04-01,8,False
2018-04-08,15,False
2018-04-15,23,False
2018-04-22,12,False
2018-04-29,26,False
2018-05-06,15,False
2018-05-13,31,False
2018-05-20,12,False
2018-05-27,15,False
2018-06-03,15,False
2018-06-10,7,False
2018-06-17,15,False
2018-06-24,8,False
2018-07-01,11,False
2018-07-08,7,False
2018-07-15,15,False
2018-07-22,23,False
2018-07-29,16,False
2018-08-05,8,False
2018-08-12,9,False
2018-08-19,8,False
2018-08-26,15,False
2018-09-02,41,False
2018-09-09,11,False
2018-09-16,15,False
2018-09-23,15,False
2018-09-30,19,False
2018-10-07,15,False
2018-10-14,27,False
2018-10-21,42,False
2018-10-28,26,False
2018-11-04,40,False
2018-11-11,30,False
2018-11-18,51,False
2018-11-25,26,False
2018-12-02,31,False
2018-12-09,15,False
2018-12-16,8,False
2018-12-23,15,False
2018-12-30,14,False
2019-01-06,8,False
2019-01-13,18,False
2019-01-20,41,False
2019-01-27,18,False
2019-02-03,26,False
2019-02-10,30,False
2019-02-17,30,False
2019-02-24,19,False
2019-03-03,19,False
2019-03-10,53,False
2019-03-17,37,False
2019-03-24,8,False
2019-03-31,23,False
2019-04-07,11,False
2019-04-14,28,False
2019-04-21,34,False
2019-04-28,12,False
2019-05-05,19,False
2019-05-12,28,False
2019-05-19,11,False
2019-05-26,0,False
2019-06-02,11,False
2019-06-09,11,False
2019-06-16,23,False
2019-06-23,8,False
2019-06-30,8,False
2019-07-07,21,False
2019-07-14,15,False
2019-07-21,15,False
2019-07-28,11,False
2019-08-04,24,False
2019-08-11,13,False
2019-08-18,8,False
2019-08-25,24,False
2019-09-01,26,False
2019-09-08,10,False
2019-09-15,20,False
2019-09-22,17,False
2019-09-29,28,False
2019-10-06,36,False
2019-10-13,14,False
2019-10-20,21,False
2019-10-27,17,False
2019-11-03,24,False
2019-11-10,30,False
2019-11-17,13,False
2019-11-24,23,False
2019-12-01,48,False
2019-12-08,14,False
2019-12-15,7,False
2019-12-22,9,False
2019-12-29,8,False
2020-01-05,27,False
2020-01-12,31,False
2020-01-19,22,False
2020-01-26,6,False
2020-02-02,28,False
2020-02-09,13,False
2020-02-16,32,False
2020-02-23,38,False
2020-03-01,30,False
2020-03-08,58,False
2020-03-15,89,False
2020-03-22,100,False
2020-03-29,58,False
2020-04-05,65,False
2020-04-12,50,False
2020-04-19,70,False
2020-04-26,39,True
