date,torta cacao,isPartial
2018-01-07,0,False
2018-01-14,41,False
2018-01-21,0,False
2018-01-28,81,False
2018-02-04,39,False
2018-02-11,19,False
2018-02-18,58,False
2018-02-25,29,False
2018-03-04,59,False
2018-03-11,41,False
2018-03-18,30,False
2018-03-25,42,False
2018-04-01,22,False
2018-04-08,21,False
2018-04-15,62,False
2018-04-22,21,False
2018-04-29,66,False
2018-05-06,21,False
2018-05-13,21,False
2018-05-20,21,False
2018-05-27,22,False
2018-06-03,0,False
2018-06-10,40,False
2018-06-17,20,False
2018-06-24,30,False
2018-07-01,42,False
2018-07-08,29,False
2018-07-15,20,False
2018-07-22,19,False
2018-07-29,27,False
2018-08-05,17,False
2018-08-12,22,False
2018-08-19,29,False
2018-08-26,17,False
2018-09-02,61,False
2018-09-09,22,False
2018-09-16,0,False
2018-09-23,21,False
2018-09-30,20,False
2018-10-07,33,False
2018-10-14,64,False
2018-10-21,53,False
2018-10-28,31,False
2018-11-04,31,False
2018-11-11,22,False
2018-11-18,43,False
2018-11-25,21,False
2018-12-02,23,False
2018-12-09,33,False
2018-12-16,0,False
2018-12-23,35,False
2018-12-30,33,False
2019-01-06,0,False
2019-01-13,63,False
2019-01-20,30,False
2019-01-27,61,False
2019-02-03,91,False
2019-02-10,30,False
2019-02-17,52,False
2019-02-24,51,False
2019-03-03,44,False
2019-03-10,31,False
2019-03-17,32,False
2019-03-24,21,False
2019-03-31,42,False
2019-04-07,64,False
2019-04-14,0,False
2019-04-21,22,False
2019-04-28,21,False
2019-05-05,21,False
2019-05-12,52,False
2019-05-19,21,False
2019-05-26,20,False
2019-06-02,22,False
2019-06-09,23,False
2019-06-16,22,False
2019-06-23,21,False
2019-06-30,0,False
2019-07-07,21,False
2019-07-14,40,False
2019-07-21,41,False
2019-07-28,19,False
2019-08-04,18,False
2019-08-11,34,False
2019-08-18,0,False
2019-08-25,25,False
2019-09-01,19,False
2019-09-08,21,False
2019-09-15,43,False
2019-09-22,21,False
2019-09-29,22,False
2019-10-06,21,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,22,False
2019-11-03,42,False
2019-11-10,21,False
2019-11-17,43,False
2019-11-24,20,False
2019-12-01,22,False
2019-12-08,0,False
2019-12-15,33,False
2019-12-22,0,False
2019-12-29,21,False
2020-01-05,0,False
2020-01-12,29,False
2020-01-19,0,False
2020-01-26,19,False
2020-02-02,57,False
2020-02-09,40,False
2020-02-16,20,False
2020-02-23,27,False
2020-03-01,36,False
2020-03-08,25,False
2020-03-15,63,False
2020-03-22,57,False
2020-03-29,100,False
2020-04-05,65,False
2020-04-12,67,False
2020-04-19,100,False
2020-04-26,82,True
