date,torta cacao,isPartial
2018-01-07,0,False
2018-01-14,13,False
2018-01-21,32,False
2018-01-28,22,False
2018-02-04,28,False
2018-02-11,38,False
2018-02-18,18,False
2018-02-25,44,False
2018-03-04,9,False
2018-03-11,35,False
2018-03-18,12,False
2018-03-25,30,False
2018-04-01,27,False
2018-04-08,13,False
2018-04-15,20,False
2018-04-22,7,False
2018-04-29,20,False
2018-05-06,10,False
2018-05-13,7,False
2018-05-20,19,False
2018-05-27,10,False
2018-06-03,10,False
2018-06-10,15,False
2018-06-17,13,False
2018-06-24,12,False
2018-07-01,6,False
2018-07-08,0,False
2018-07-15,9,False
2018-07-22,18,False
2018-07-29,6,False
2018-08-05,12,False
2018-08-12,11,False
2018-08-19,11,False
2018-08-26,8,False
2018-09-02,12,False
2018-09-09,25,False
2018-09-16,37,False
2018-09-23,19,False
2018-09-30,25,False
2018-10-07,13,False
2018-10-14,13,False
2018-10-21,30,False
2018-10-28,29,False
2018-11-04,13,False
2018-11-11,23,False
2018-11-18,19,False
2018-11-25,32,False
2018-12-02,14,False
2018-12-09,13,False
2018-12-16,27,False
2018-12-23,7,False
2018-12-30,6,False
2019-01-06,19,False
2019-01-13,28,False
2019-01-20,32,False
2019-01-27,17,False
2019-02-03,9,False
2019-02-10,17,False
2019-02-17,18,False
2019-02-24,18,False
2019-03-03,28,False
2019-03-10,27,False
2019-03-17,22,False
2019-03-24,15,False
2019-03-31,12,False
2019-04-07,18,False
2019-04-14,6,False
2019-04-21,9,False
2019-04-28,29,False
2019-05-05,6,False
2019-05-12,6,False
2019-05-19,12,False
2019-05-26,8,False
2019-06-02,9,False
2019-06-09,9,False
2019-06-16,15,False
2019-06-23,12,False
2019-06-30,6,False
2019-07-07,0,False
2019-07-14,11,False
2019-07-21,6,False
2019-07-28,11,False
2019-08-04,14,False
2019-08-11,15,False
2019-08-18,6,False
2019-08-25,11,False
2019-09-01,27,False
2019-09-08,8,False
2019-09-15,24,False
2019-09-22,27,False
2019-09-29,14,False
2019-10-06,26,False
2019-10-13,17,False
2019-10-20,14,False
2019-10-27,25,False
2019-11-03,8,False
2019-11-10,22,False
2019-11-17,22,False
2019-11-24,30,False
2019-12-01,31,False
2019-12-08,11,False
2019-12-15,11,False
2019-12-22,9,False
2019-12-29,6,False
2020-01-05,14,False
2020-01-12,21,False
2020-01-19,32,False
2020-01-26,24,False
2020-02-02,31,False
2020-02-09,16,False
2020-02-16,18,False
2020-02-23,25,False
2020-03-01,22,False
2020-03-08,37,False
2020-03-15,58,False
2020-03-22,100,False
2020-03-29,70,False
2020-04-05,59,False
2020-04-12,34,False
2020-04-19,61,False
2020-04-26,46,True
