date,reparar aire acondicionado,isPartial
2018-01-07,15,False
2018-01-14,30,False
2018-01-21,15,False
2018-01-28,14,False
2018-02-04,29,False
2018-02-11,30,False
2018-02-18,22,False
2018-02-25,21,False
2018-03-04,14,False
2018-03-11,14,False
2018-03-18,15,False
2018-03-25,16,False
2018-04-01,40,False
2018-04-08,28,False
2018-04-15,44,False
2018-04-22,21,False
2018-04-29,25,False
2018-05-06,29,False
2018-05-13,30,False
2018-05-20,44,False
2018-05-27,24,False
2018-06-03,14,False
2018-06-10,35,False
2018-06-17,66,False
2018-06-24,95,False
2018-07-01,100,False
2018-07-08,64,False
2018-07-15,41,False
2018-07-22,46,False
2018-07-29,72,False
2018-08-05,66,False
2018-08-12,21,False
2018-08-19,42,False
2018-08-26,25,False
2018-09-02,15,False
2018-09-09,36,False
2018-09-16,19,False
2018-09-23,28,False
2018-09-30,0,False
2018-10-07,15,False
2018-10-14,19,False
2018-10-21,29,False
2018-10-28,15,False
2018-11-04,14,False
2018-11-11,0,False
2018-11-18,14,False
2018-11-25,14,False
2018-12-02,15,False
2018-12-09,0,False
2018-12-16,15,False
2018-12-23,17,False
2018-12-30,16,False
2019-01-06,22,False
2019-01-13,21,False
2019-01-20,13,False
2019-01-27,13,False
2019-02-03,19,False
2019-02-10,21,False
2019-02-17,14,False
2019-02-24,21,False
2019-03-03,29,False
2019-03-10,29,False
2019-03-17,15,False
2019-03-24,14,False
2019-03-31,23,False
2019-04-07,28,False
2019-04-14,22,False
2019-04-21,14,False
2019-04-28,24,False
2019-05-05,23,False
2019-05-12,32,False
2019-05-19,21,False
2019-05-26,41,False
2019-06-02,54,False
2019-06-09,61,False
2019-06-16,50,False
2019-06-23,97,False
2019-06-30,72,False
2019-07-07,56,False
2019-07-14,78,False
2019-07-21,83,False
2019-07-28,66,False
2019-08-04,55,False
2019-08-11,31,False
2019-08-18,59,False
2019-08-25,42,False
2019-09-01,36,False
2019-09-08,0,False
2019-09-15,26,False
2019-09-22,26,False
2019-09-29,26,False
2019-10-06,17,False
2019-10-13,13,False
2019-10-20,17,False
2019-10-27,26,False
2019-11-03,0,False
2019-11-10,13,False
2019-11-17,13,False
2019-11-24,18,False
2019-12-01,13,False
2019-12-08,27,False
2019-12-15,0,False
2019-12-22,29,False
2019-12-29,28,False
2020-01-05,13,False
2020-01-12,0,False
2020-01-19,12,False
2020-01-26,12,False
2020-02-02,20,False
2020-02-09,12,False
2020-02-16,25,False
2020-02-23,12,False
2020-03-01,23,False
2020-03-08,11,False
2020-03-15,11,False
2020-03-22,11,False
2020-03-29,21,False
2020-04-05,11,False
2020-04-12,0,False
2020-04-19,14,False
2020-04-26,11,False
2020-05-03,28,False
2020-05-10,18,False
2020-05-17,63,True
