date,Fitnesstrainer,isPartial
2018-01-07,29,False
2018-01-14,57,False
2018-01-21,0,False
2018-01-28,43,False
2018-02-04,44,False
2018-02-11,60,False
2018-02-18,30,False
2018-02-25,29,False
2018-03-04,29,False
2018-03-11,0,False
2018-03-18,30,False
2018-03-25,31,False
2018-04-01,31,False
2018-04-08,31,False
2018-04-15,32,False
2018-04-22,75,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,30,False
2018-05-20,0,False
2018-05-27,30,False
2018-06-03,30,False
2018-06-10,59,False
2018-06-17,30,False
2018-06-24,62,False
2018-07-01,0,False
2018-07-08,46,False
2018-07-15,31,False
2018-07-22,62,False
2018-07-29,59,False
2018-08-05,29,False
2018-08-12,30,False
2018-08-19,0,False
2018-08-26,30,False
2018-09-02,30,False
2018-09-09,30,False
2018-09-16,30,False
2018-09-23,30,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,60,False
2018-10-21,29,False
2018-10-28,0,False
2018-11-04,42,False
2018-11-11,29,False
2018-11-18,42,False
2018-11-25,29,False
2018-12-02,100,False
2018-12-09,29,False
2018-12-16,0,False
2018-12-23,32,False
2018-12-30,30,False
2019-01-06,27,False
2019-01-13,27,False
2019-01-20,27,False
2019-01-27,27,False
2019-02-03,27,False
2019-02-10,42,False
2019-02-17,28,False
2019-02-24,30,False
2019-03-03,0,False
2019-03-10,41,False
2019-03-17,29,False
2019-03-24,43,False
2019-03-31,29,False
2019-04-07,57,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,29,False
2019-05-05,27,False
2019-05-12,29,False
2019-05-19,0,False
2019-05-26,28,False
2019-06-02,28,False
2019-06-09,42,False
2019-06-16,29,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,29,False
2019-07-14,0,False
2019-07-21,31,False
2019-07-28,30,False
2019-08-04,29,False
2019-08-11,0,False
2019-08-18,28,False
2019-08-25,28,False
2019-09-01,28,False
2019-09-08,42,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,28,False
2019-10-06,27,False
2019-10-13,27,False
2019-10-20,53,False
2019-10-27,77,False
2019-11-03,77,False
2019-11-10,26,False
2019-11-17,25,False
2019-11-24,25,False
2019-12-01,26,False
2019-12-08,0,False
2019-12-15,27,False
2019-12-22,57,False
2019-12-29,27,False
2020-01-05,25,False
2020-01-12,36,False
2020-01-19,37,False
2020-01-26,25,False
2020-02-02,24,False
2020-02-09,24,False
2020-02-16,51,False
2020-02-23,24,False
2020-03-01,0,False
2020-03-08,22,False
2020-03-15,22,False
2020-03-22,21,False
2020-03-29,21,False
2020-04-05,0,False
2020-04-12,22,False
2020-04-19,22,False
2020-04-26,53,False
2020-05-03,21,False
2020-05-10,22,False
2020-05-17,0,True
