date,Stuhl beziehen,isPartial
2018-01-07,34,False
2018-01-14,50,False
2018-01-21,42,False
2018-01-28,42,False
2018-02-04,52,False
2018-02-11,34,False
2018-02-18,39,False
2018-02-25,51,False
2018-03-04,25,False
2018-03-11,25,False
2018-03-18,94,False
2018-03-25,55,False
2018-04-01,27,False
2018-04-08,53,False
2018-04-15,54,False
2018-04-22,39,False
2018-04-29,54,False
2018-05-06,55,False
2018-05-13,26,False
2018-05-20,28,False
2018-05-27,26,False
2018-06-03,0,False
2018-06-10,100,False
2018-06-17,25,False
2018-06-24,26,False
2018-07-01,78,False
2018-07-08,38,False
2018-07-15,40,False
2018-07-22,40,False
2018-07-29,27,False
2018-08-05,26,False
2018-08-12,0,False
2018-08-19,40,False
2018-08-26,26,False
2018-09-02,52,False
2018-09-09,52,False
2018-09-16,43,False
2018-09-23,26,False
2018-09-30,26,False
2018-10-07,52,False
2018-10-14,39,False
2018-10-21,42,False
2018-10-28,50,False
2018-11-04,49,False
2018-11-11,34,False
2018-11-18,24,False
2018-11-25,42,False
2018-12-02,25,False
2018-12-09,63,False
2018-12-16,39,False
2018-12-23,30,False
2018-12-30,44,False
2019-01-06,32,False
2019-01-13,23,False
2019-01-20,23,False
2019-01-27,70,False
2019-02-03,36,False
2019-02-10,36,False
2019-02-17,86,False
2019-02-24,25,False
2019-03-03,47,False
2019-03-10,32,False
2019-03-17,25,False
2019-03-24,25,False
2019-03-31,37,False
2019-04-07,24,False
2019-04-14,27,False
2019-04-21,52,False
2019-04-28,24,False
2019-05-05,48,False
2019-05-12,49,False
2019-05-19,32,False
2019-05-26,25,False
2019-06-02,0,False
2019-06-09,74,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,33,False
2019-07-07,24,False
2019-07-14,50,False
2019-07-21,80,False
2019-07-28,26,False
2019-08-04,52,False
2019-08-11,25,False
2019-08-18,38,False
2019-08-25,33,False
2019-09-01,36,False
2019-09-08,25,False
2019-09-15,0,False
2019-09-22,36,False
2019-09-29,56,False
2019-10-06,32,False
2019-10-13,59,False
2019-10-20,35,False
2019-10-27,46,False
2019-11-03,22,False
2019-11-10,23,False
2019-11-17,46,False
2019-11-24,56,False
2019-12-01,23,False
2019-12-08,0,False
2019-12-15,23,False
2019-12-22,40,False
2019-12-29,41,False
2020-01-05,29,False
2020-01-12,42,False
2020-01-19,36,False
2020-01-26,85,False
2020-02-02,33,False
2020-02-09,21,False
2020-02-16,44,False
2020-02-23,21,False
2020-03-01,32,False
2020-03-08,40,False
2020-03-15,19,False
2020-03-22,19,False
2020-03-29,64,False
2020-04-05,32,False
2020-04-12,31,False
2020-04-19,40,False
2020-04-26,51,False
2020-05-03,49,False
2020-05-10,59,False
