date,plomberie sanitaire,isPartial
2018-01-07,38,False
2018-01-14,50,False
2018-01-21,25,False
2018-01-28,32,False
2018-02-04,31,False
2018-02-11,13,False
2018-02-18,39,False
2018-02-25,25,False
2018-03-04,32,False
2018-03-11,64,False
2018-03-18,51,False
2018-03-25,26,False
2018-04-01,26,False
2018-04-08,26,False
2018-04-15,41,False
2018-04-22,26,False
2018-04-29,20,False
2018-05-06,47,False
2018-05-13,32,False
2018-05-20,33,False
2018-05-27,32,False
2018-06-03,19,False
2018-06-10,30,False
2018-06-17,64,False
2018-06-24,13,False
2018-07-01,31,False
2018-07-08,39,False
2018-07-15,41,False
2018-07-22,28,False
2018-07-29,14,False
2018-08-05,14,False
2018-08-12,51,False
2018-08-19,28,False
2018-08-26,40,False
2018-09-02,26,False
2018-09-09,26,False
2018-09-16,13,False
2018-09-23,26,False
2018-09-30,46,False
2018-10-07,33,False
2018-10-14,65,False
2018-10-21,46,False
2018-10-28,46,False
2018-11-04,19,False
2018-11-11,25,False
2018-11-18,25,False
2018-11-25,25,False
2018-12-02,19,False
2018-12-09,58,False
2018-12-16,27,False
2018-12-23,52,False
2018-12-30,28,False
2019-01-06,38,False
2019-01-13,51,False
2019-01-20,37,False
2019-01-27,31,False
2019-02-03,49,False
2019-02-10,58,False
2019-02-17,46,False
2019-02-24,58,False
2019-03-03,50,False
2019-03-10,51,False
2019-03-17,19,False
2019-03-24,20,False
2019-03-31,44,False
2019-04-07,45,False
2019-04-14,33,False
2019-04-21,26,False
2019-04-28,31,False
2019-05-05,25,False
2019-05-12,13,False
2019-05-19,44,False
2019-05-26,19,False
2019-06-02,59,False
2019-06-09,30,False
2019-06-16,32,False
2019-06-23,31,False
2019-06-30,100,False
2019-07-07,13,False
2019-07-14,13,False
2019-07-21,33,False
2019-07-28,20,False
2019-08-04,27,False
2019-08-11,34,False
2019-08-18,20,False
2019-08-25,38,False
2019-09-01,67,False
2019-09-08,30,False
2019-09-15,55,False
2019-09-22,35,False
2019-09-29,52,False
2019-10-06,47,False
2019-10-13,18,False
2019-10-20,48,False
2019-10-27,23,False
2019-11-03,74,False
2019-11-10,29,False
2019-11-17,11,False
2019-11-24,22,False
2019-12-01,34,False
2019-12-08,34,False
2019-12-15,0,False
2019-12-22,13,False
2019-12-29,30,False
2020-01-05,50,False
2020-01-12,70,False
2020-01-19,62,False
2020-01-26,44,False
2020-02-02,22,False
2020-02-09,28,False
2020-02-16,28,False
2020-02-23,48,False
2020-03-01,37,False
2020-03-08,16,False
2020-03-15,30,False
2020-03-22,44,False
2020-03-29,25,False
2020-04-05,20,False
2020-04-12,30,False
2020-04-19,10,False
2020-04-26,23,False
2020-05-03,52,False
2020-05-10,45,False
2020-05-17,0,True
