date,Blumenschmuck Hochzeit,isPartial
2018-01-07,14,False
2018-01-14,54,False
2018-01-21,27,False
2018-01-28,27,False
2018-02-04,28,False
2018-02-11,42,False
2018-02-18,14,False
2018-02-25,83,False
2018-03-04,28,False
2018-03-11,41,False
2018-03-18,28,False
2018-03-25,15,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,15,False
2018-04-22,14,False
2018-04-29,0,False
2018-05-06,30,False
2018-05-13,14,False
2018-05-20,45,False
2018-05-27,14,False
2018-06-03,14,False
2018-06-10,41,False
2018-06-17,42,False
2018-06-24,14,False
2018-07-01,42,False
2018-07-08,70,False
2018-07-15,14,False
2018-07-22,0,False
2018-07-29,44,False
2018-08-05,100,False
2018-08-12,14,False
2018-08-19,29,False
2018-08-26,29,False
2018-09-02,0,False
2018-09-09,14,False
2018-09-16,14,False
2018-09-23,14,False
2018-09-30,14,False
2018-10-07,43,False
2018-10-14,0,False
2018-10-21,41,False
2018-10-28,14,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,27,False
2018-12-09,14,False
2018-12-16,0,False
2018-12-23,16,False
2018-12-30,29,False
2019-01-06,13,False
2019-01-13,0,False
2019-01-20,13,False
2019-01-27,38,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,13,False
2019-02-24,13,False
2019-03-03,13,False
2019-03-10,52,False
2019-03-17,81,False
2019-03-24,54,False
2019-03-31,13,False
2019-04-07,53,False
2019-04-14,43,False
2019-04-21,14,False
2019-04-28,27,False
2019-05-05,0,False
2019-05-12,27,False
2019-05-19,53,False
2019-05-26,41,False
2019-06-02,26,False
2019-06-09,13,False
2019-06-16,41,False
2019-06-23,14,False
2019-06-30,27,False
2019-07-07,79,False
2019-07-14,0,False
2019-07-21,43,False
2019-07-28,70,False
2019-08-04,43,False
2019-08-11,27,False
2019-08-18,27,False
2019-08-25,14,False
2019-09-01,39,False
2019-09-08,13,False
2019-09-15,26,False
2019-09-22,0,False
2019-09-29,13,False
2019-10-06,13,False
2019-10-13,38,False
2019-10-20,13,False
2019-10-27,0,False
2019-11-03,24,False
2019-11-10,25,False
2019-11-17,12,False
2019-11-24,37,False
2019-12-01,0,False
2019-12-08,12,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,26,False
2020-01-05,36,False
2020-01-12,12,False
2020-01-19,24,False
2020-01-26,12,False
2020-02-02,23,False
2020-02-09,35,False
2020-02-16,0,False
2020-02-23,12,False
2020-03-01,12,False
2020-03-08,11,False
2020-03-15,11,False
2020-03-22,0,False
2020-03-29,10,False
2020-04-05,0,False
2020-04-12,0,True
