date,exercice math,isPartial
2018-01-07,30,False
2018-01-14,30,False
2018-01-21,30,False
2018-01-28,77,False
2018-02-04,46,False
2018-02-11,47,False
2018-02-18,32,False
2018-02-25,60,False
2018-03-04,31,False
2018-03-11,61,False
2018-03-18,47,False
2018-03-25,31,False
2018-04-01,32,False
2018-04-08,33,False
2018-04-15,52,False
2018-04-22,31,False
2018-04-29,31,False
2018-05-06,80,False
2018-05-13,62,False
2018-05-20,43,False
2018-05-27,31,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,64,False
2018-07-01,61,False
2018-07-08,32,False
2018-07-15,33,False
2018-07-22,49,False
2018-07-29,0,False
2018-08-05,67,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,49,False
2018-09-02,33,False
2018-09-09,100,False
2018-09-16,33,False
2018-09-23,33,False
2018-09-30,33,False
2018-10-07,54,False
2018-10-14,66,False
2018-10-21,33,False
2018-10-28,31,False
2018-11-04,62,False
2018-11-11,96,False
2018-11-18,31,False
2018-11-25,0,False
2018-12-02,31,False
2018-12-09,47,False
2018-12-16,48,False
2018-12-23,33,False
2018-12-30,33,False
2019-01-06,62,False
2019-01-13,47,False
2019-01-20,30,False
2019-01-27,30,False
2019-02-03,91,False
2019-02-10,62,False
2019-02-17,66,False
2019-02-24,47,False
2019-03-03,45,False
2019-03-10,31,False
2019-03-17,32,False
2019-03-24,64,False
2019-03-31,32,False
2019-04-07,31,False
2019-04-14,49,False
2019-04-21,31,False
2019-04-28,60,False
2019-05-05,30,False
2019-05-12,31,False
2019-05-19,46,False
2019-05-26,0,False
2019-06-02,44,False
2019-06-09,29,False
2019-06-16,0,False
2019-06-23,31,False
2019-06-30,30,False
2019-07-07,61,False
2019-07-14,0,False
2019-07-21,31,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,32,False
2019-08-25,0,False
2019-09-01,44,False
2019-09-08,61,False
2019-09-15,50,False
2019-09-22,57,False
2019-09-29,43,False
2019-10-06,57,False
2019-10-13,48,False
2019-10-20,43,False
2019-10-27,46,False
2019-11-03,41,False
2019-11-10,69,False
2019-11-17,38,False
2019-11-24,45,False
2019-12-01,56,False
2019-12-08,28,False
2019-12-15,42,False
2019-12-22,29,False
2019-12-29,57,False
2020-01-05,27,False
2020-01-12,44,False
2020-01-19,27,False
2020-01-26,53,False
2020-02-02,40,False
2020-02-09,26,False
2020-02-16,53,False
2020-02-23,26,False
2020-03-01,26,False
2020-03-08,78,False
2020-03-15,77,False
2020-03-22,59,False
2020-03-29,66,False
2020-04-05,34,False
2020-04-12,0,False
2020-04-19,46,False
2020-04-26,32,False
2020-05-03,43,False
2020-05-10,30,False
2020-05-17,0,True
