date,exercice math,isPartial
2018-01-07,53,False
2018-01-14,36,False
2018-01-21,47,False
2018-01-28,58,False
2018-02-04,57,False
2018-02-11,52,False
2018-02-18,54,False
2018-02-25,32,False
2018-03-04,16,False
2018-03-11,32,False
2018-03-18,41,False
2018-03-25,38,False
2018-04-01,33,False
2018-04-08,32,False
2018-04-15,28,False
2018-04-22,40,False
2018-04-29,26,False
2018-05-06,58,False
2018-05-13,33,False
2018-05-20,25,False
2018-05-27,26,False
2018-06-03,32,False
2018-06-10,38,False
2018-06-17,44,False
2018-06-24,57,False
2018-07-01,16,False
2018-07-08,50,False
2018-07-15,18,False
2018-07-22,17,False
2018-07-29,17,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,17,False
2018-08-26,17,False
2018-09-02,34,False
2018-09-09,22,False
2018-09-16,60,False
2018-09-23,50,False
2018-09-30,27,False
2018-10-07,28,False
2018-10-14,34,False
2018-10-21,26,False
2018-10-28,28,False
2018-11-04,26,False
2018-11-11,57,False
2018-11-18,45,False
2018-11-25,45,False
2018-12-02,45,False
2018-12-09,31,False
2018-12-16,47,False
2018-12-23,26,False
2018-12-30,100,False
2019-01-06,25,False
2019-01-13,46,False
2019-01-20,76,False
2019-01-27,45,False
2019-02-03,23,False
2019-02-10,32,False
2019-02-17,25,False
2019-02-24,31,False
2019-03-03,22,False
2019-03-10,16,False
2019-03-17,16,False
2019-03-24,26,False
2019-03-31,27,False
2019-04-07,17,False
2019-04-14,28,False
2019-04-21,32,False
2019-04-28,47,False
2019-05-05,31,False
2019-05-12,40,False
2019-05-19,38,False
2019-05-26,16,False
2019-06-02,45,False
2019-06-09,36,False
2019-06-16,48,False
2019-06-23,23,False
2019-06-30,16,False
2019-07-07,16,False
2019-07-14,49,False
2019-07-21,0,False
2019-07-28,17,False
2019-08-04,16,False
2019-08-11,16,False
2019-08-18,33,False
2019-08-25,31,False
2019-09-01,31,False
2019-09-08,41,False
2019-09-15,30,False
2019-09-22,50,False
2019-09-29,53,False
2019-10-06,34,False
2019-10-13,15,False
2019-10-20,29,False
2019-10-27,37,False
2019-11-03,14,False
2019-11-10,28,False
2019-11-17,14,False
2019-11-24,36,False
2019-12-01,56,False
2019-12-08,37,False
2019-12-15,14,False
2019-12-22,16,False
2019-12-29,61,False
2020-01-05,34,False
2020-01-12,27,False
2020-01-19,42,False
2020-01-26,45,False
2020-02-02,14,False
2020-02-09,36,False
2020-02-16,42,False
2020-02-23,22,False
2020-03-01,39,False
2020-03-08,26,False
2020-03-15,97,False
2020-03-22,67,False
2020-03-29,33,False
2020-04-05,37,False
2020-04-12,17,False
2020-04-19,28,False
2020-04-26,31,False
2020-05-03,21,False
2020-05-10,12,False
2020-05-17,30,True
