date,Granit Blockstufen,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,29,False
2018-02-04,0,False
2018-02-11,58,False
2018-02-18,44,False
2018-02-25,29,False
2018-03-04,72,False
2018-03-11,29,False
2018-03-18,58,False
2018-03-25,82,False
2018-04-01,62,False
2018-04-08,60,False
2018-04-15,61,False
2018-04-22,29,False
2018-04-29,46,False
2018-05-06,61,False
2018-05-13,29,False
2018-05-20,62,False
2018-05-27,60,False
2018-06-03,49,False
2018-06-10,42,False
2018-06-17,38,False
2018-06-24,59,False
2018-07-01,39,False
2018-07-08,39,False
2018-07-15,61,False
2018-07-22,40,False
2018-07-29,50,False
2018-08-05,30,False
2018-08-12,41,False
2018-08-19,60,False
2018-08-26,60,False
2018-09-02,0,False
2018-09-09,29,False
2018-09-16,59,False
2018-09-23,88,False
2018-09-30,59,False
2018-10-07,58,False
2018-10-14,44,False
2018-10-21,29,False
2018-10-28,0,False
2018-11-04,28,False
2018-11-11,29,False
2018-11-18,0,False
2018-11-25,38,False
2018-12-02,56,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,33,False
2018-12-30,30,False
2019-01-06,45,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,27,False
2019-02-03,36,False
2019-02-10,27,False
2019-02-17,83,False
2019-02-24,56,False
2019-03-03,41,False
2019-03-10,27,False
2019-03-17,47,False
2019-03-24,46,False
2019-03-31,56,False
2019-04-07,82,False
2019-04-14,30,False
2019-04-21,44,False
2019-04-28,55,False
2019-05-05,54,False
2019-05-12,28,False
2019-05-19,27,False
2019-05-26,42,False
2019-06-02,73,False
2019-06-09,28,False
2019-06-16,47,False
2019-06-23,28,False
2019-06-30,42,False
2019-07-07,68,False
2019-07-14,48,False
2019-07-21,60,False
2019-07-28,58,False
2019-08-04,29,False
2019-08-11,37,False
2019-08-18,29,False
2019-08-25,56,False
2019-09-01,41,False
2019-09-08,46,False
2019-09-15,42,False
2019-09-22,54,False
2019-09-29,45,False
2019-10-06,27,False
2019-10-13,35,False
2019-10-20,26,False
2019-10-27,44,False
2019-11-03,38,False
2019-11-10,0,False
2019-11-17,38,False
2019-11-24,25,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,30,False
2019-12-29,28,False
2020-01-05,25,False
2020-01-12,36,False
2020-01-19,25,False
2020-01-26,36,False
2020-02-02,24,False
2020-02-09,48,False
2020-02-16,41,False
2020-02-23,24,False
2020-03-01,48,False
2020-03-08,22,False
2020-03-15,37,False
2020-03-22,29,False
2020-03-29,22,False
2020-04-05,48,False
2020-04-12,61,False
2020-04-19,60,False
2020-04-26,80,False
2020-05-03,88,False
2020-05-10,100,False
