date,Fassadenarbeiten,isPartial
2018-01-07,81,False
2018-01-14,36,False
2018-01-21,27,False
2018-01-28,54,False
2018-02-04,55,False
2018-02-11,37,False
2018-02-18,27,False
2018-02-25,27,False
2018-03-04,0,False
2018-03-11,27,False
2018-03-18,27,False
2018-03-25,29,False
2018-04-01,59,False
2018-04-08,56,False
2018-04-15,29,False
2018-04-22,55,False
2018-04-29,29,False
2018-05-06,57,False
2018-05-13,27,False
2018-05-20,29,False
2018-05-27,56,False
2018-06-03,28,False
2018-06-10,40,False
2018-06-17,45,False
2018-06-24,37,False
2018-07-01,56,False
2018-07-08,27,False
2018-07-15,28,False
2018-07-22,28,False
2018-07-29,28,False
2018-08-05,42,False
2018-08-12,29,False
2018-08-19,43,False
2018-08-26,56,False
2018-09-02,42,False
2018-09-09,65,False
2018-09-16,28,False
2018-09-23,28,False
2018-09-30,28,False
2018-10-07,83,False
2018-10-14,46,False
2018-10-21,27,False
2018-10-28,45,False
2018-11-04,39,False
2018-11-11,54,False
2018-11-18,26,False
2018-11-25,80,False
2018-12-02,44,False
2018-12-09,40,False
2018-12-16,0,False
2018-12-23,42,False
2018-12-30,85,False
2019-01-06,38,False
2019-01-13,50,False
2019-01-20,100,False
2019-01-27,42,False
2019-02-03,26,False
2019-02-10,95,False
2019-02-17,43,False
2019-02-24,26,False
2019-03-03,26,False
2019-03-10,51,False
2019-03-17,40,False
2019-03-24,26,False
2019-03-31,53,False
2019-04-07,0,False
2019-04-14,57,False
2019-04-21,0,False
2019-04-28,26,False
2019-05-05,25,False
2019-05-12,40,False
2019-05-19,26,False
2019-05-26,36,False
2019-06-02,26,False
2019-06-09,27,False
2019-06-16,27,False
2019-06-23,27,False
2019-06-30,26,False
2019-07-07,65,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,28,False
2019-08-11,27,False
2019-08-18,94,False
2019-08-25,79,False
2019-09-01,51,False
2019-09-08,39,False
2019-09-15,35,False
2019-09-22,25,False
2019-09-29,39,False
2019-10-06,42,False
2019-10-13,38,False
2019-10-20,37,False
2019-10-27,50,False
2019-11-03,36,False
2019-11-10,24,False
2019-11-17,97,False
2019-11-24,24,False
2019-12-01,24,False
2019-12-08,24,False
2019-12-15,37,False
2019-12-22,28,False
2019-12-29,44,False
2020-01-05,39,False
2020-01-12,22,False
2020-01-19,35,False
2020-01-26,31,False
2020-02-02,31,False
2020-02-09,22,False
2020-02-16,47,False
2020-02-23,61,False
2020-03-01,34,False
2020-03-08,43,False
2020-03-15,52,False
2020-03-22,21,False
2020-03-29,41,False
2020-04-05,46,False
2020-04-12,29,False
2020-04-19,42,False
2020-04-26,48,False
2020-05-03,42,False
2020-05-10,64,False
