date,Stromerzeugung,isPartial
2018-01-07,30,False
2018-01-14,40,False
2018-01-21,30,False
2018-01-28,100,False
2018-02-04,21,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,50,False
2018-03-04,0,False
2018-03-11,39,False
2018-03-18,0,False
2018-03-25,43,False
2018-04-01,33,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,42,False
2018-04-29,0,False
2018-05-06,22,False
2018-05-13,0,False
2018-05-20,22,False
2018-05-27,22,False
2018-06-03,31,False
2018-06-10,20,False
2018-06-17,41,False
2018-06-24,50,False
2018-07-01,21,False
2018-07-08,21,False
2018-07-15,43,False
2018-07-22,65,False
2018-07-29,22,False
2018-08-05,21,False
2018-08-12,33,False
2018-08-19,32,False
2018-08-26,21,False
2018-09-02,52,False
2018-09-09,0,False
2018-09-16,42,False
2018-09-23,21,False
2018-09-30,72,False
2018-10-07,21,False
2018-10-14,21,False
2018-10-21,21,False
2018-10-28,84,False
2018-11-04,20,False
2018-11-11,31,False
2018-11-18,0,False
2018-11-25,40,False
2018-12-02,51,False
2018-12-09,20,False
2018-12-16,31,False
2018-12-23,23,False
2018-12-30,0,False
2019-01-06,19,False
2019-01-13,28,False
2019-01-20,19,False
2019-01-27,19,False
2019-02-03,29,False
2019-02-10,57,False
2019-02-17,28,False
2019-02-24,28,False
2019-03-03,0,False
2019-03-10,37,False
2019-03-17,29,False
2019-03-24,20,False
2019-03-31,30,False
2019-04-07,0,False
2019-04-14,21,False
2019-04-21,21,False
2019-04-28,40,False
2019-05-05,19,False
2019-05-12,58,False
2019-05-19,19,False
2019-05-26,19,False
2019-06-02,50,False
2019-06-09,20,False
2019-06-16,20,False
2019-06-23,20,False
2019-06-30,20,False
2019-07-07,20,False
2019-07-14,21,False
2019-07-21,0,False
2019-07-28,21,False
2019-08-04,32,False
2019-08-11,41,False
2019-08-18,40,False
2019-08-25,0,False
2019-09-01,38,False
2019-09-08,49,False
2019-09-15,39,False
2019-09-22,38,False
2019-09-29,36,False
2019-10-06,56,False
2019-10-13,38,False
2019-10-20,37,False
2019-10-27,28,False
2019-11-03,36,False
2019-11-10,18,False
2019-11-17,55,False
2019-11-24,36,False
2019-12-01,65,False
2019-12-08,37,False
2019-12-15,37,False
2019-12-22,41,False
2019-12-29,19,False
2020-01-05,35,False
2020-01-12,33,False
2020-01-19,34,False
2020-01-26,33,False
2020-02-02,34,False
2020-02-09,34,False
2020-02-16,34,False
2020-02-23,56,False
2020-03-01,0,False
2020-03-08,16,False
2020-03-15,0,False
2020-03-22,39,False
2020-03-29,0,False
2020-04-05,17,False
2020-04-12,17,False
2020-04-19,0,False
2020-04-26,16,False
2020-05-03,33,False
2020-05-10,16,False
2020-05-17,26,False
2020-05-24,16,False
2020-05-31,17,False
2020-06-07,17,False
2020-06-14,32,False
2020-06-21,42,False
2020-06-28,17,False
2020-07-05,35,False
