date,Bautrockner,isPartial
2018-01-07,41,False
2018-01-14,48,False
2018-01-21,24,False
2018-01-28,37,False
2018-02-04,25,False
2018-02-11,75,False
2018-02-18,62,False
2018-02-25,42,False
2018-03-04,38,False
2018-03-11,25,False
2018-03-18,25,False
2018-03-25,44,False
2018-04-01,27,False
2018-04-08,26,False
2018-04-15,26,False
2018-04-22,51,False
2018-04-29,40,False
2018-05-06,27,False
2018-05-13,26,False
2018-05-20,42,False
2018-05-27,41,False
2018-06-03,35,False
2018-06-10,100,False
2018-06-17,51,False
2018-06-24,38,False
2018-07-01,38,False
2018-07-08,42,False
2018-07-15,26,False
2018-07-22,52,False
2018-07-29,45,False
2018-08-05,83,False
2018-08-12,42,False
2018-08-19,57,False
2018-08-26,56,False
2018-09-02,35,False
2018-09-09,65,False
2018-09-16,34,False
2018-09-23,52,False
2018-09-30,39,False
2018-10-07,25,False
2018-10-14,25,False
2018-10-21,33,False
2018-10-28,38,False
2018-11-04,37,False
2018-11-11,37,False
2018-11-18,23,False
2018-11-25,40,False
2018-12-02,24,False
2018-12-09,24,False
2018-12-16,25,False
2018-12-23,39,False
2018-12-30,78,False
2019-01-06,46,False
2019-01-13,34,False
2019-01-20,61,False
2019-01-27,38,False
2019-02-03,57,False
2019-02-10,31,False
2019-02-17,35,False
2019-02-24,48,False
2019-03-03,24,False
2019-03-10,31,False
2019-03-17,24,False
2019-03-24,40,False
2019-03-31,48,False
2019-04-07,24,False
2019-04-14,26,False
2019-04-21,0,False
2019-04-28,24,False
2019-05-05,23,False
2019-05-12,36,False
2019-05-19,54,False
2019-05-26,0,False
2019-06-02,24,False
2019-06-09,0,False
2019-06-16,33,False
2019-06-23,60,False
2019-06-30,23,False
2019-07-07,46,False
2019-07-14,24,False
2019-07-21,0,False
2019-07-28,42,False
2019-08-04,53,False
2019-08-11,51,False
2019-08-18,35,False
2019-08-25,53,False
2019-09-01,25,False
2019-09-08,72,False
2019-09-15,24,False
2019-09-22,23,False
2019-09-29,24,False
2019-10-06,38,False
2019-10-13,22,False
2019-10-20,67,False
2019-10-27,38,False
2019-11-03,22,False
2019-11-10,22,False
2019-11-17,54,False
2019-11-24,79,False
2019-12-01,52,False
2019-12-08,58,False
2019-12-15,23,False
2019-12-22,26,False
2019-12-29,49,False
2020-01-05,22,False
2020-01-12,31,False
2020-01-19,43,False
2020-01-26,21,False
2020-02-02,42,False
2020-02-09,49,False
2020-02-16,33,False
2020-02-23,35,False
2020-03-01,31,False
2020-03-08,19,False
2020-03-15,47,False
2020-03-22,25,False
2020-03-29,25,False
2020-04-05,41,False
2020-04-12,0,False
2020-04-19,38,False
2020-04-26,31,False
2020-05-03,31,False
2020-05-10,19,False
