date,ramo novia,isPartial
2018-01-07,24,False
2018-01-14,24,False
2018-01-21,40,False
2018-01-28,32,False
2018-02-04,39,False
2018-02-11,16,False
2018-02-18,65,False
2018-02-25,63,False
2018-03-04,23,False
2018-03-11,39,False
2018-03-18,16,False
2018-03-25,42,False
2018-04-01,48,False
2018-04-08,69,False
2018-04-15,39,False
2018-04-22,24,False
2018-04-29,27,False
2018-05-06,62,False
2018-05-13,74,False
2018-05-20,47,False
2018-05-27,46,False
2018-06-03,23,False
2018-06-10,47,False
2018-06-17,17,False
2018-06-24,34,False
2018-07-01,17,False
2018-07-08,36,False
2018-07-15,19,False
2018-07-22,39,False
2018-07-29,20,False
2018-08-05,32,False
2018-08-12,23,False
2018-08-19,43,False
2018-08-26,57,False
2018-09-02,25,False
2018-09-09,33,False
2018-09-16,93,False
2018-09-23,23,False
2018-09-30,39,False
2018-10-07,41,False
2018-10-14,31,False
2018-10-21,31,False
2018-10-28,65,False
2018-11-04,35,False
2018-11-11,22,False
2018-11-18,44,False
2018-11-25,43,False
2018-12-02,53,False
2018-12-09,16,False
2018-12-16,23,False
2018-12-23,19,False
2018-12-30,17,False
2019-01-06,32,False
2019-01-13,37,False
2019-01-20,14,False
2019-01-27,27,False
2019-02-03,23,False
2019-02-10,45,False
2019-02-17,15,False
2019-02-24,27,False
2019-03-03,23,False
2019-03-10,23,False
2019-03-17,23,False
2019-03-24,39,False
2019-03-31,22,False
2019-04-07,47,False
2019-04-14,19,False
2019-04-21,38,False
2019-04-28,48,False
2019-05-05,54,False
2019-05-12,30,False
2019-05-19,59,False
2019-05-26,43,False
2019-06-02,78,False
2019-06-09,56,False
2019-06-16,100,False
2019-06-23,48,False
2019-06-30,49,False
2019-07-07,39,False
2019-07-14,44,False
2019-07-21,43,False
2019-07-28,49,False
2019-08-04,21,False
2019-08-11,56,False
2019-08-18,43,False
2019-08-25,27,False
2019-09-01,37,False
2019-09-08,29,False
2019-09-15,35,False
2019-09-22,22,False
2019-09-29,42,False
2019-10-06,42,False
2019-10-13,27,False
2019-10-20,48,False
2019-10-27,15,False
2019-11-03,27,False
2019-11-10,33,False
2019-11-17,20,False
2019-11-24,32,False
2019-12-01,0,False
2019-12-08,14,False
2019-12-15,48,False
2019-12-22,33,False
2019-12-29,33,False
2020-01-05,14,False
2020-01-12,26,False
2020-01-19,39,False
2020-01-26,52,False
2020-02-02,26,False
2020-02-09,20,False
2020-02-16,26,False
2020-02-23,32,False
2020-03-01,38,False
2020-03-08,19,False
2020-03-15,13,False
2020-03-22,38,False
2020-03-29,13,False
2020-04-05,0,False
2020-04-12,22,True
