date,ramo novia,isPartial
2018-01-07,0,False
2018-01-14,26,False
2018-01-21,50,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,100,False
2018-03-04,25,False
2018-03-11,77,False
2018-03-18,75,False
2018-03-25,51,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,26,False
2018-04-29,49,False
2018-05-06,0,False
2018-05-13,25,False
2018-05-20,50,False
2018-05-27,25,False
2018-06-03,25,False
2018-06-10,24,False
2018-06-17,0,False
2018-06-24,27,False
2018-07-01,0,False
2018-07-08,39,False
2018-07-15,27,False
2018-07-22,55,False
2018-07-29,27,False
2018-08-05,25,False
2018-08-12,24,False
2018-08-19,23,False
2018-08-26,36,False
2018-09-02,25,False
2018-09-09,27,False
2018-09-16,27,False
2018-09-23,25,False
2018-09-30,52,False
2018-10-07,26,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,48,False
2018-11-11,0,False
2018-11-18,24,False
2018-11-25,0,False
2018-12-02,25,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,27,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,49,False
2019-01-20,23,False
2019-01-27,24,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,25,False
2019-02-24,24,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,24,False
2019-03-24,49,False
2019-03-31,23,False
2019-04-07,24,False
2019-04-14,23,False
2019-04-21,23,False
2019-04-28,23,False
2019-05-05,0,False
2019-05-12,24,False
2019-05-19,0,False
2019-05-26,58,False
2019-06-02,23,False
2019-06-09,24,False
2019-06-16,73,False
2019-06-23,62,False
2019-06-30,50,False
2019-07-07,36,False
2019-07-14,25,False
2019-07-21,61,False
2019-07-28,0,False
2019-08-04,45,False
2019-08-11,22,False
2019-08-18,0,False
2019-08-25,44,False
2019-09-01,34,False
2019-09-08,23,False
2019-09-15,22,False
2019-09-22,22,False
2019-09-29,45,False
2019-10-06,0,False
2019-10-13,21,False
2019-10-20,32,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,21,False
2019-11-17,0,False
2019-11-24,20,False
2019-12-01,21,False
2019-12-08,0,False
2019-12-15,21,False
2019-12-22,22,False
2019-12-29,22,False
2020-01-05,0,False
2020-01-12,20,False
2020-01-19,20,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,21,False
2020-02-23,0,False
2020-03-01,19,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,18,False
2020-03-29,18,False
2020-04-05,18,False
2020-04-12,0,True
