date,Teppichboden verlegen,isPartial
2018-01-07,20,False
2018-01-14,70,False
2018-01-21,30,False
2018-01-28,60,False
2018-02-04,31,False
2018-02-11,31,False
2018-02-18,31,False
2018-02-25,61,False
2018-03-04,51,False
2018-03-11,51,False
2018-03-18,62,False
2018-03-25,87,False
2018-04-01,44,False
2018-04-08,21,False
2018-04-15,32,False
2018-04-22,21,False
2018-04-29,75,False
2018-05-06,43,False
2018-05-13,20,False
2018-05-20,33,False
2018-05-27,42,False
2018-06-03,21,False
2018-06-10,70,False
2018-06-17,30,False
2018-06-24,62,False
2018-07-01,52,False
2018-07-08,31,False
2018-07-15,74,False
2018-07-22,53,False
2018-07-29,63,False
2018-08-05,32,False
2018-08-12,43,False
2018-08-19,21,False
2018-08-26,84,False
2018-09-02,31,False
2018-09-09,31,False
2018-09-16,41,False
2018-09-23,21,False
2018-09-30,83,False
2018-10-07,41,False
2018-10-14,41,False
2018-10-21,61,False
2018-10-28,40,False
2018-11-04,30,False
2018-11-11,51,False
2018-11-18,19,False
2018-11-25,59,False
2018-12-02,40,False
2018-12-09,20,False
2018-12-16,41,False
2018-12-23,71,False
2018-12-30,42,False
2019-01-06,38,False
2019-01-13,38,False
2019-01-20,37,False
2019-01-27,65,False
2019-02-03,67,False
2019-02-10,29,False
2019-02-17,49,False
2019-02-24,40,False
2019-03-03,19,False
2019-03-10,38,False
2019-03-17,20,False
2019-03-24,29,False
2019-03-31,40,False
2019-04-07,39,False
2019-04-14,85,False
2019-04-21,41,False
2019-04-28,57,False
2019-05-05,47,False
2019-05-12,98,False
2019-05-19,38,False
2019-05-26,60,False
2019-06-02,48,False
2019-06-09,40,False
2019-06-16,100,False
2019-06-23,30,False
2019-06-30,39,False
2019-07-07,20,False
2019-07-14,61,False
2019-07-21,64,False
2019-07-28,31,False
2019-08-04,41,False
2019-08-11,40,False
2019-08-18,81,False
2019-08-25,39,False
2019-09-01,29,False
2019-09-08,68,False
2019-09-15,39,False
2019-09-22,66,False
2019-09-29,67,False
2019-10-06,47,False
2019-10-13,38,False
2019-10-20,65,False
2019-10-27,55,False
2019-11-03,35,False
2019-11-10,63,False
2019-11-17,36,False
2019-11-24,53,False
2019-12-01,37,False
2019-12-08,73,False
2019-12-15,18,False
2019-12-22,53,False
2019-12-29,30,False
2020-01-05,52,False
2020-01-12,84,False
2020-01-19,34,False
2020-01-26,69,False
2020-02-02,52,False
2020-02-09,84,False
2020-02-16,61,False
2020-02-23,17,False
2020-03-01,67,False
2020-03-08,63,False
2020-03-15,31,False
2020-03-22,62,False
2020-03-29,31,False
2020-04-05,17,False
2020-04-12,49,False
2020-04-19,16,False
2020-04-26,69,False
2020-05-03,78,False
2020-05-10,55,False
