date,piscine autoportante,isPartial
2018-01-07,4,False
2018-01-14,4,False
2018-01-21,4,False
2018-01-28,0,False
2018-02-04,4,False
2018-02-11,4,False
2018-02-18,12,False
2018-02-25,4,False
2018-03-04,4,False
2018-03-11,4,False
2018-03-18,4,False
2018-03-25,9,False
2018-04-01,5,False
2018-04-08,5,False
2018-04-15,17,False
2018-04-22,11,False
2018-04-29,22,False
2018-05-06,15,False
2018-05-13,12,False
2018-05-20,21,False
2018-05-27,23,False
2018-06-03,20,False
2018-06-10,16,False
2018-06-17,34,False
2018-06-24,58,False
2018-07-01,54,False
2018-07-08,39,False
2018-07-15,40,False
2018-07-22,47,False
2018-07-29,51,False
2018-08-05,24,False
2018-08-12,12,False
2018-08-19,4,False
2018-08-26,7,False
2018-09-02,4,False
2018-09-09,8,False
2018-09-16,8,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,6,False
2018-11-18,4,False
2018-11-25,4,False
2018-12-02,4,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,4,False
2019-01-06,0,False
2019-01-13,4,False
2019-01-20,0,False
2019-01-27,4,False
2019-02-03,4,False
2019-02-10,4,False
2019-02-17,8,False
2019-02-24,4,False
2019-03-03,4,False
2019-03-10,4,False
2019-03-17,4,False
2019-03-24,5,False
2019-03-31,6,False
2019-04-07,5,False
2019-04-14,10,False
2019-04-21,8,False
2019-04-28,8,False
2019-05-05,6,False
2019-05-12,11,False
2019-05-19,10,False
2019-05-26,15,False
2019-06-02,28,False
2019-06-09,4,False
2019-06-16,24,False
2019-06-23,100,False
2019-06-30,41,False
2019-07-07,39,False
2019-07-14,26,False
2019-07-21,32,False
2019-07-28,8,False
2019-08-04,5,False
2019-08-11,8,False
2019-08-18,8,False
2019-08-25,8,False
2019-09-01,4,False
2019-09-08,4,False
2019-09-15,7,False
2019-09-22,7,False
2019-09-29,4,False
2019-10-06,4,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,4,False
2019-11-03,0,False
2019-11-10,3,False
2019-11-17,0,False
2019-11-24,3,False
2019-12-01,0,False
2019-12-08,3,False
2019-12-15,3,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,3,False
2020-01-12,3,False
2020-01-19,3,False
2020-01-26,7,False
2020-02-02,5,False
2020-02-09,5,False
2020-02-16,0,False
2020-02-23,3,False
2020-03-01,0,False
2020-03-08,5,False
2020-03-15,0,False
2020-03-22,4,False
2020-03-29,12,False
2020-04-05,22,False
2020-04-12,28,False
2020-04-19,25,False
2020-04-26,19,False
2020-05-03,24,False
2020-05-10,12,False
2020-05-17,76,True
