date,tailleur homme,isPartial
2018-01-07,0,False
2018-01-14,32,False
2018-01-21,48,False
2018-01-28,16,False
2018-02-04,64,False
2018-02-11,48,False
2018-02-18,33,False
2018-02-25,33,False
2018-03-04,33,False
2018-03-11,49,False
2018-03-18,82,False
2018-03-25,16,False
2018-04-01,17,False
2018-04-08,0,False
2018-04-15,71,False
2018-04-22,34,False
2018-04-29,17,False
2018-05-06,17,False
2018-05-13,33,False
2018-05-20,84,False
2018-05-27,65,False
2018-06-03,0,False
2018-06-10,31,False
2018-06-17,0,False
2018-06-24,49,False
2018-07-01,80,False
2018-07-08,34,False
2018-07-15,0,False
2018-07-22,53,False
2018-07-29,0,False
2018-08-05,36,False
2018-08-12,18,False
2018-08-19,36,False
2018-08-26,17,False
2018-09-02,67,False
2018-09-09,17,False
2018-09-16,33,False
2018-09-23,17,False
2018-09-30,50,False
2018-10-07,49,False
2018-10-14,33,False
2018-10-21,17,False
2018-10-28,34,False
2018-11-04,64,False
2018-11-11,48,False
2018-11-18,16,False
2018-11-25,49,False
2018-12-02,65,False
2018-12-09,50,False
2018-12-16,0,False
2018-12-23,75,False
2018-12-30,18,False
2019-01-06,16,False
2019-01-13,33,False
2019-01-20,31,False
2019-01-27,31,False
2019-02-03,47,False
2019-02-10,33,False
2019-02-17,17,False
2019-02-24,33,False
2019-03-03,32,False
2019-03-10,0,False
2019-03-17,66,False
2019-03-24,0,False
2019-03-31,81,False
2019-04-07,33,False
2019-04-14,33,False
2019-04-21,17,False
2019-04-28,48,False
2019-05-05,80,False
2019-05-12,48,False
2019-05-19,32,False
2019-05-26,16,False
2019-06-02,15,False
2019-06-09,15,False
2019-06-16,16,False
2019-06-23,16,False
2019-06-30,0,False
2019-07-07,80,False
2019-07-14,49,False
2019-07-21,17,False
2019-07-28,17,False
2019-08-04,34,False
2019-08-11,0,False
2019-08-18,17,False
2019-08-25,48,False
2019-09-01,77,False
2019-09-08,31,False
2019-09-15,77,False
2019-09-22,75,False
2019-09-29,45,False
2019-10-06,15,False
2019-10-13,60,False
2019-10-20,30,False
2019-10-27,15,False
2019-11-03,14,False
2019-11-10,15,False
2019-11-17,59,False
2019-11-24,43,False
2019-12-01,29,False
2019-12-08,0,False
2019-12-15,58,False
2019-12-22,32,False
2019-12-29,46,False
2020-01-05,57,False
2020-01-12,28,False
2020-01-19,100,False
2020-01-26,56,False
2020-02-02,56,False
2020-02-09,28,False
2020-02-16,71,False
2020-02-23,27,False
2020-03-01,55,False
2020-03-08,40,False
2020-03-15,26,False
2020-03-22,12,False
2020-03-29,25,False
2020-04-05,25,False
2020-04-12,45,True
