date,musica dj,isPartial
2018-01-07,21,False
2018-01-14,51,False
2018-01-21,40,False
2018-01-28,100,False
2018-02-04,50,False
2018-02-11,20,False
2018-02-18,29,False
2018-02-25,48,False
2018-03-04,28,False
2018-03-11,29,False
2018-03-18,19,False
2018-03-25,20,False
2018-04-01,42,False
2018-04-08,39,False
2018-04-15,30,False
2018-04-22,31,False
2018-04-29,50,False
2018-05-06,29,False
2018-05-13,48,False
2018-05-20,48,False
2018-05-27,19,False
2018-06-03,59,False
2018-06-10,58,False
2018-06-17,50,False
2018-06-24,20,False
2018-07-01,20,False
2018-07-08,80,False
2018-07-15,61,False
2018-07-22,42,False
2018-07-29,22,False
2018-08-05,24,False
2018-08-12,27,False
2018-08-19,0,False
2018-08-26,32,False
2018-09-02,67,False
2018-09-09,47,False
2018-09-16,28,False
2018-09-23,38,False
2018-09-30,28,False
2018-10-07,48,False
2018-10-14,19,False
2018-10-21,19,False
2018-10-28,38,False
2018-11-04,27,False
2018-11-11,28,False
2018-11-18,36,False
2018-11-25,47,False
2018-12-02,19,False
2018-12-09,28,False
2018-12-16,38,False
2018-12-23,45,False
2018-12-30,44,False
2019-01-06,29,False
2019-01-13,27,False
2019-01-20,45,False
2019-01-27,0,False
2019-02-03,27,False
2019-02-10,27,False
2019-02-17,37,False
2019-02-24,19,False
2019-03-03,19,False
2019-03-10,47,False
2019-03-17,19,False
2019-03-24,39,False
2019-03-31,39,False
2019-04-07,38,False
2019-04-14,39,False
2019-04-21,0,False
2019-04-28,20,False
2019-05-05,19,False
2019-05-12,37,False
2019-05-19,18,False
2019-05-26,54,False
2019-06-02,19,False
2019-06-09,38,False
2019-06-16,29,False
2019-06-23,20,False
2019-06-30,49,False
2019-07-07,29,False
2019-07-14,20,False
2019-07-21,41,False
2019-07-28,21,False
2019-08-04,35,False
2019-08-11,78,False
2019-08-18,36,False
2019-08-25,32,False
2019-09-01,18,False
2019-09-08,18,False
2019-09-15,36,False
2019-09-22,18,False
2019-09-29,27,False
2019-10-06,0,False
2019-10-13,18,False
2019-10-20,43,False
2019-10-27,17,False
2019-11-03,0,False
2019-11-10,43,False
2019-11-17,42,False
2019-11-24,34,False
2019-12-01,44,False
2019-12-08,0,False
2019-12-15,27,False
2019-12-22,21,False
2019-12-29,21,False
2020-01-05,53,False
2020-01-12,24,False
2020-01-19,17,False
2020-01-26,16,False
2020-02-02,33,False
2020-02-09,25,False
2020-02-16,41,False
2020-02-23,15,False
2020-03-01,31,False
2020-03-08,31,False
2020-03-15,47,False
2020-03-22,30,False
2020-03-29,30,False
2020-04-05,32,False
2020-04-12,32,False
2020-04-19,31,False
2020-04-26,26,True
