date,video compleanno,isPartial
2018-01-07,66,False
2018-01-14,21,False
2018-01-21,0,False
2018-01-28,31,False
2018-02-04,41,False
2018-02-11,21,False
2018-02-18,51,False
2018-02-25,29,False
2018-03-04,41,False
2018-03-11,61,False
2018-03-18,31,False
2018-03-25,43,False
2018-04-01,44,False
2018-04-08,21,False
2018-04-15,0,False
2018-04-22,66,False
2018-04-29,21,False
2018-05-06,30,False
2018-05-13,21,False
2018-05-20,31,False
2018-05-27,42,False
2018-06-03,62,False
2018-06-10,39,False
2018-06-17,41,False
2018-06-24,21,False
2018-07-01,20,False
2018-07-08,20,False
2018-07-15,21,False
2018-07-22,41,False
2018-07-29,31,False
2018-08-05,22,False
2018-08-12,44,False
2018-08-19,43,False
2018-08-26,41,False
2018-09-02,61,False
2018-09-09,0,False
2018-09-16,20,False
2018-09-23,20,False
2018-09-30,42,False
2018-10-07,42,False
2018-10-14,42,False
2018-10-21,63,False
2018-10-28,100,False
2018-11-04,41,False
2018-11-11,21,False
2018-11-18,21,False
2018-11-25,42,False
2018-12-02,21,False
2018-12-09,65,False
2018-12-16,23,False
2018-12-23,52,False
2018-12-30,36,False
2019-01-06,44,False
2019-01-13,42,False
2019-01-20,40,False
2019-01-27,40,False
2019-02-03,51,False
2019-02-10,42,False
2019-02-17,32,False
2019-02-24,32,False
2019-03-03,43,False
2019-03-10,21,False
2019-03-17,42,False
2019-03-24,43,False
2019-03-31,41,False
2019-04-07,41,False
2019-04-14,21,False
2019-04-21,21,False
2019-04-28,20,False
2019-05-05,20,False
2019-05-12,49,False
2019-05-19,29,False
2019-05-26,19,False
2019-06-02,41,False
2019-06-09,41,False
2019-06-16,0,False
2019-06-23,43,False
2019-06-30,41,False
2019-07-07,50,False
2019-07-14,0,False
2019-07-21,21,False
2019-07-28,0,False
2019-08-04,65,False
2019-08-11,46,False
2019-08-18,42,False
2019-08-25,20,False
2019-09-01,19,False
2019-09-08,19,False
2019-09-15,20,False
2019-09-22,37,False
2019-09-29,0,False
2019-10-06,29,False
2019-10-13,29,False
2019-10-20,38,False
2019-10-27,55,False
2019-11-03,46,False
2019-11-10,19,False
2019-11-17,28,False
2019-11-24,37,False
2019-12-01,19,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,47,False
2019-12-29,32,False
2020-01-05,20,False
2020-01-12,36,False
2020-01-19,28,False
2020-01-26,27,False
2020-02-02,45,False
2020-02-09,19,False
2020-02-16,28,False
2020-02-23,25,False
2020-03-01,51,False
2020-03-08,49,False
2020-03-15,33,False
2020-03-22,83,False
2020-03-29,70,False
2020-04-05,48,False
2020-04-12,41,False
2020-04-19,54,False
2020-04-26,94,True
