date,Autoschlüssel nachmachen,isPartial
2018-01-07,20,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,20,False
2018-02-04,61,False
2018-02-11,27,False
2018-02-18,20,False
2018-02-25,41,False
2018-03-04,41,False
2018-03-11,20,False
2018-03-18,20,False
2018-03-25,22,False
2018-04-01,0,False
2018-04-08,21,False
2018-04-15,21,False
2018-04-22,21,False
2018-04-29,22,False
2018-05-06,51,False
2018-05-13,42,False
2018-05-20,23,False
2018-05-27,22,False
2018-06-03,21,False
2018-06-10,31,False
2018-06-17,20,False
2018-06-24,31,False
2018-07-01,20,False
2018-07-08,31,False
2018-07-15,21,False
2018-07-22,0,False
2018-07-29,22,False
2018-08-05,22,False
2018-08-12,45,False
2018-08-19,23,False
2018-08-26,23,False
2018-09-02,43,False
2018-09-09,21,False
2018-09-16,62,False
2018-09-23,21,False
2018-09-30,21,False
2018-10-07,21,False
2018-10-14,0,False
2018-10-21,100,False
2018-10-28,20,False
2018-11-04,49,False
2018-11-11,20,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,20,False
2018-12-09,29,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,21,False
2019-01-06,28,False
2019-01-13,25,False
2019-01-20,56,False
2019-01-27,19,False
2019-02-03,19,False
2019-02-10,25,False
2019-02-17,19,False
2019-02-24,29,False
2019-03-03,39,False
2019-03-10,28,False
2019-03-17,20,False
2019-03-24,19,False
2019-03-31,19,False
2019-04-07,19,False
2019-04-14,21,False
2019-04-21,40,False
2019-04-28,29,False
2019-05-05,19,False
2019-05-12,29,False
2019-05-19,19,False
2019-05-26,20,False
2019-06-02,19,False
2019-06-09,41,False
2019-06-16,20,False
2019-06-23,19,False
2019-06-30,38,False
2019-07-07,31,False
2019-07-14,19,False
2019-07-21,27,False
2019-07-28,31,False
2019-08-04,22,False
2019-08-11,21,False
2019-08-18,54,False
2019-08-25,21,False
2019-09-01,40,False
2019-09-08,29,False
2019-09-15,20,False
2019-09-22,0,False
2019-09-29,19,False
2019-10-06,19,False
2019-10-13,18,False
2019-10-20,37,False
2019-10-27,18,False
2019-11-03,18,False
2019-11-10,18,False
2019-11-17,44,False
2019-11-24,26,False
2019-12-01,18,False
2019-12-08,53,False
2019-12-15,18,False
2019-12-22,21,False
2019-12-29,40,False
2020-01-05,29,False
2020-01-12,0,False
2020-01-19,17,False
2020-01-26,17,False
2020-02-02,17,False
2020-02-09,17,False
2020-02-16,29,False
2020-02-23,17,False
2020-03-01,17,False
2020-03-08,31,False
2020-03-15,15,False
2020-03-22,15,False
2020-03-29,15,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,15,False
2020-04-26,0,False
2020-05-03,15,False
2020-05-10,0,False
