date,Autoschlüssel nachmachen,isPartial
2018-01-07,38,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,39,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,39,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,40,False
2018-04-15,42,False
2018-04-22,0,False
2018-04-29,84,False
2018-05-06,41,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,41,False
2018-06-03,41,False
2018-06-10,0,False
2018-06-17,41,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,43,False
2018-07-15,42,False
2018-07-22,0,False
2018-07-29,83,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,40,False
2018-08-26,78,False
2018-09-02,39,False
2018-09-09,78,False
2018-09-16,0,False
2018-09-23,40,False
2018-09-30,42,False
2018-10-07,0,False
2018-10-14,39,False
2018-10-21,38,False
2018-10-28,38,False
2018-11-04,57,False
2018-11-11,39,False
2018-11-18,38,False
2018-11-25,54,False
2018-12-02,80,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,38,False
2019-01-20,0,False
2019-01-27,38,False
2019-02-03,38,False
2019-02-10,38,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,38,False
2019-03-10,38,False
2019-03-17,39,False
2019-03-24,0,False
2019-03-31,38,False
2019-04-07,39,False
2019-04-14,0,False
2019-04-21,41,False
2019-04-28,39,False
2019-05-05,37,False
2019-05-12,39,False
2019-05-19,0,False
2019-05-26,40,False
2019-06-02,76,False
2019-06-09,78,False
2019-06-16,80,False
2019-06-23,100,False
2019-06-30,41,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,53,False
2019-08-11,38,False
2019-08-18,57,False
2019-08-25,39,False
2019-09-01,37,False
2019-09-08,38,False
2019-09-15,59,False
2019-09-22,0,False
2019-09-29,41,False
2019-10-06,38,False
2019-10-13,55,False
2019-10-20,48,False
2019-10-27,35,False
2019-11-03,36,False
2019-11-10,35,False
2019-11-17,0,False
2019-11-24,70,False
2019-12-01,36,False
2019-12-08,36,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,41,False
2020-01-05,54,False
2020-01-12,34,False
2020-01-19,69,False
2020-01-26,34,False
2020-02-02,57,False
2020-02-09,33,False
2020-02-16,0,False
2020-02-23,51,False
2020-03-01,34,False
2020-03-08,64,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,33,False
2020-04-19,0,False
2020-04-26,32,False
2020-05-03,0,False
2020-05-10,0,False
