date,panneau solaire photovoltaïque,isPartial
2018-01-07,50,False
2018-01-14,33,False
2018-01-21,50,False
2018-01-28,25,False
2018-02-04,38,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,26,False
2018-03-04,25,False
2018-03-11,26,False
2018-03-18,0,False
2018-03-25,52,False
2018-04-01,39,False
2018-04-08,26,False
2018-04-15,28,False
2018-04-22,80,False
2018-04-29,26,False
2018-05-06,27,False
2018-05-13,43,False
2018-05-20,26,False
2018-05-27,38,False
2018-06-03,25,False
2018-06-10,25,False
2018-06-17,26,False
2018-06-24,26,False
2018-07-01,25,False
2018-07-08,0,False
2018-07-15,28,False
2018-07-22,28,False
2018-07-29,42,False
2018-08-05,28,False
2018-08-12,28,False
2018-08-19,28,False
2018-08-26,0,False
2018-09-02,26,False
2018-09-09,26,False
2018-09-16,26,False
2018-09-23,26,False
2018-09-30,52,False
2018-10-07,35,False
2018-10-14,26,False
2018-10-21,0,False
2018-10-28,52,False
2018-11-04,51,False
2018-11-11,25,False
2018-11-18,33,False
2018-11-25,38,False
2018-12-02,51,False
2018-12-09,26,False
2018-12-16,26,False
2018-12-23,59,False
2018-12-30,28,False
2019-01-06,25,False
2019-01-13,42,False
2019-01-20,100,False
2019-01-27,33,False
2019-02-03,41,False
2019-02-10,52,False
2019-02-17,26,False
2019-02-24,43,False
2019-03-03,25,False
2019-03-10,25,False
2019-03-17,26,False
2019-03-24,39,False
2019-03-31,34,False
2019-04-07,35,False
2019-04-14,0,False
2019-04-21,39,False
2019-04-28,25,False
2019-05-05,33,False
2019-05-12,38,False
2019-05-19,25,False
2019-05-26,59,False
2019-06-02,59,False
2019-06-09,25,False
2019-06-16,38,False
2019-06-23,25,False
2019-06-30,25,False
2019-07-07,25,False
2019-07-14,26,False
2019-07-21,40,False
2019-07-28,27,False
2019-08-04,27,False
2019-08-11,27,False
2019-08-18,27,False
2019-08-25,34,False
2019-09-01,73,False
2019-09-08,57,False
2019-09-15,81,False
2019-09-22,39,False
2019-09-29,23,False
2019-10-06,47,False
2019-10-13,47,False
2019-10-20,32,False
2019-10-27,47,False
2019-11-03,31,False
2019-11-10,57,False
2019-11-17,23,False
2019-11-24,79,False
2019-12-01,30,False
2019-12-08,45,False
2019-12-15,23,False
2019-12-22,26,False
2019-12-29,24,False
2020-01-05,22,False
2020-01-12,22,False
2020-01-19,37,False
2020-01-26,37,False
2020-02-02,67,False
2020-02-09,51,False
2020-02-16,45,False
2020-02-23,43,False
2020-03-01,32,False
2020-03-08,32,False
2020-03-15,40,False
2020-03-22,39,False
2020-03-29,20,False
2020-04-05,20,False
2020-04-12,40,False
2020-04-19,33,False
2020-04-26,37,False
2020-05-03,31,False
2020-05-10,46,False
2020-05-17,21,False
2020-05-24,28,False
2020-05-31,19,False
2020-06-07,26,False
2020-06-14,62,False
2020-06-21,0,True
