date,bomboniere prima comunione,isPartial
2018-01-07,19,False
2018-01-14,38,False
2018-01-21,38,False
2018-01-28,61,False
2018-02-04,34,False
2018-02-11,43,False
2018-02-18,54,False
2018-02-25,49,False
2018-03-04,54,False
2018-03-11,58,False
2018-03-18,53,False
2018-03-25,28,False
2018-04-01,37,False
2018-04-08,32,False
2018-04-15,33,False
2018-04-22,23,False
2018-04-29,49,False
2018-05-06,29,False
2018-05-13,11,False
2018-05-20,21,False
2018-05-27,11,False
2018-06-03,8,False
2018-06-10,8,False
2018-06-17,5,False
2018-06-24,16,False
2018-07-01,0,False
2018-07-08,5,False
2018-07-15,11,False
2018-07-22,16,False
2018-07-29,6,False
2018-08-05,6,False
2018-08-12,6,False
2018-08-19,24,False
2018-08-26,19,False
2018-09-02,10,False
2018-09-09,16,False
2018-09-16,8,False
2018-09-23,16,False
2018-09-30,16,False
2018-10-07,11,False
2018-10-14,25,False
2018-10-21,11,False
2018-10-28,21,False
2018-11-04,10,False
2018-11-11,11,False
2018-11-18,0,False
2018-11-25,8,False
2018-12-02,16,False
2018-12-09,0,False
2018-12-16,11,False
2018-12-23,6,False
2018-12-30,23,False
2019-01-06,19,False
2019-01-13,18,False
2019-01-20,71,False
2019-01-27,32,False
2019-02-03,48,False
2019-02-10,20,False
2019-02-17,44,False
2019-02-24,54,False
2019-03-03,27,False
2019-03-10,55,False
2019-03-17,49,False
2019-03-24,48,False
2019-03-31,29,False
2019-04-07,24,False
2019-04-14,35,False
2019-04-21,11,False
2019-04-28,21,False
2019-05-05,23,False
2019-05-12,33,False
2019-05-19,13,False
2019-05-26,24,False
2019-06-02,5,False
2019-06-09,5,False
2019-06-16,0,False
2019-06-23,5,False
2019-06-30,5,False
2019-07-07,5,False
2019-07-14,11,False
2019-07-21,5,False
2019-07-28,6,False
2019-08-04,0,False
2019-08-11,18,False
2019-08-18,0,False
2019-08-25,8,False
2019-09-01,0,False
2019-09-08,10,False
2019-09-15,5,False
2019-09-22,15,False
2019-09-29,17,False
2019-10-06,15,False
2019-10-13,17,False
2019-10-20,10,False
2019-10-27,10,False
2019-11-03,9,False
2019-11-10,7,False
2019-11-17,5,False
2019-11-24,5,False
2019-12-01,5,False
2019-12-08,0,False
2019-12-15,10,False
2019-12-22,6,False
2019-12-29,19,False
2020-01-05,22,False
2020-01-12,34,False
2020-01-19,53,False
2020-01-26,30,False
2020-02-02,63,False
2020-02-09,92,False
2020-02-16,100,False
2020-02-23,39,False
2020-03-01,22,False
2020-03-08,8,False
2020-03-15,0,False
2020-03-22,4,False
2020-03-29,4,False
2020-04-05,8,False
2020-04-12,0,False
2020-04-19,12,False
2020-04-26,7,True
