date,moda uomo,isPartial
2018-01-07,30,False
2018-01-14,59,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,57,False
2018-03-04,56,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,29,False
2018-04-01,31,False
2018-04-08,84,False
2018-04-15,30,False
2018-04-22,0,False
2018-04-29,27,False
2018-05-06,0,False
2018-05-13,28,False
2018-05-20,28,False
2018-05-27,28,False
2018-06-03,27,False
2018-06-10,100,False
2018-06-17,26,False
2018-06-24,24,False
2018-07-01,46,False
2018-07-08,23,False
2018-07-15,46,False
2018-07-22,34,False
2018-07-29,23,False
2018-08-05,21,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,24,False
2018-09-02,0,False
2018-09-09,34,False
2018-09-16,0,False
2018-09-23,24,False
2018-09-30,39,False
2018-10-07,27,False
2018-10-14,0,False
2018-10-21,59,False
2018-10-28,43,False
2018-11-04,29,False
2018-11-11,29,False
2018-11-18,28,False
2018-11-25,29,False
2018-12-02,30,False
2018-12-09,0,False
2018-12-16,31,False
2018-12-23,0,False
2018-12-30,33,False
2019-01-06,59,False
2019-01-13,0,False
2019-01-20,27,False
2019-01-27,28,False
2019-02-03,29,False
2019-02-10,30,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,29,False
2019-03-17,30,False
2019-03-24,30,False
2019-03-31,29,False
2019-04-07,28,False
2019-04-14,29,False
2019-04-21,30,False
2019-04-28,58,False
2019-05-05,56,False
2019-05-12,55,False
2019-05-19,28,False
2019-05-26,27,False
2019-06-02,28,False
2019-06-09,0,False
2019-06-16,39,False
2019-06-23,26,False
2019-06-30,39,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,24,False
2019-08-04,47,False
2019-08-11,0,False
2019-08-18,21,False
2019-08-25,0,False
2019-09-01,22,False
2019-09-08,46,False
2019-09-15,48,False
2019-09-22,24,False
2019-09-29,25,False
2019-10-06,26,False
2019-10-13,26,False
2019-10-20,0,False
2019-10-27,26,False
2019-11-03,25,False
2019-11-10,25,False
2019-11-17,25,False
2019-11-24,36,False
2019-12-01,0,False
2019-12-08,77,False
2019-12-15,26,False
2019-12-22,0,False
2019-12-29,27,False
2020-01-05,0,False
2020-01-12,23,False
2020-01-19,23,False
2020-01-26,23,False
2020-02-02,23,False
2020-02-09,24,False
2020-02-16,0,False
2020-02-23,23,False
2020-03-01,21,False
2020-03-08,20,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,20,False
2020-04-05,0,False
2020-04-12,21,False
2020-04-19,20,False
2020-04-26,71,True
