date,fotografía,isPartial
2018-01-07,0,False
2018-01-14,37,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,25,False
2018-02-11,0,False
2018-02-18,52,False
2018-02-25,0,False
2018-03-04,51,False
2018-03-11,25,False
2018-03-18,25,False
2018-03-25,24,False
2018-04-01,24,False
2018-04-08,37,False
2018-04-15,51,False
2018-04-22,0,False
2018-04-29,25,False
2018-05-06,48,False
2018-05-13,0,False
2018-05-20,25,False
2018-05-27,24,False
2018-06-03,0,False
2018-06-10,70,False
2018-06-17,26,False
2018-06-24,0,False
2018-07-01,24,False
2018-07-08,0,False
2018-07-15,22,False
2018-07-22,22,False
2018-07-29,43,False
2018-08-05,20,False
2018-08-12,20,False
2018-08-19,42,False
2018-08-26,0,False
2018-09-02,23,False
2018-09-09,24,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,50,False
2018-10-07,76,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,24,False
2018-11-11,25,False
2018-11-18,24,False
2018-11-25,50,False
2018-12-02,50,False
2018-12-09,38,False
2018-12-16,25,False
2018-12-23,0,False
2018-12-30,55,False
2019-01-06,25,False
2019-01-13,24,False
2019-01-20,23,False
2019-01-27,23,False
2019-02-03,25,False
2019-02-10,25,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,50,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,100,False
2019-03-31,49,False
2019-04-07,25,False
2019-04-14,22,False
2019-04-21,0,False
2019-04-28,24,False
2019-05-05,24,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,45,False
2019-06-02,0,False
2019-06-09,35,False
2019-06-16,24,False
2019-06-23,24,False
2019-06-30,0,False
2019-07-07,33,False
2019-07-14,67,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,19,False
2019-08-18,19,False
2019-08-25,0,False
2019-09-01,32,False
2019-09-08,23,False
2019-09-15,45,False
2019-09-22,0,False
2019-09-29,45,False
2019-10-06,45,False
2019-10-13,44,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,32,False
2019-11-10,21,False
2019-11-17,44,False
2019-11-24,62,False
2019-12-01,33,False
2019-12-08,22,False
2019-12-15,21,False
2019-12-22,23,False
2019-12-29,23,False
2020-01-05,22,False
2020-01-12,0,False
2020-01-19,31,False
2020-01-26,42,False
2020-02-02,31,False
2020-02-09,21,False
2020-02-16,42,False
2020-02-23,41,False
2020-03-01,29,False
2020-03-08,39,False
2020-03-15,36,False
2020-03-22,17,False
2020-03-29,17,False
2020-04-05,17,False
2020-04-12,50,True
