date,fotografía,isPartial
2018-01-07,21,False
2018-01-14,21,False
2018-01-21,52,False
2018-01-28,20,False
2018-02-04,40,False
2018-02-11,0,False
2018-02-18,21,False
2018-02-25,21,False
2018-03-04,20,False
2018-03-11,31,False
2018-03-18,51,False
2018-03-25,21,False
2018-04-01,64,False
2018-04-08,20,False
2018-04-15,42,False
2018-04-22,30,False
2018-04-29,61,False
2018-05-06,20,False
2018-05-13,0,False
2018-05-20,21,False
2018-05-27,0,False
2018-06-03,20,False
2018-06-10,19,False
2018-06-17,0,False
2018-06-24,32,False
2018-07-01,20,False
2018-07-08,21,False
2018-07-15,30,False
2018-07-22,41,False
2018-07-29,21,False
2018-08-05,20,False
2018-08-12,30,False
2018-08-19,40,False
2018-08-26,21,False
2018-09-02,100,False
2018-09-09,41,False
2018-09-16,31,False
2018-09-23,20,False
2018-09-30,41,False
2018-10-07,42,False
2018-10-14,31,False
2018-10-21,31,False
2018-10-28,42,False
2018-11-04,69,False
2018-11-11,42,False
2018-11-18,20,False
2018-11-25,0,False
2018-12-02,32,False
2018-12-09,21,False
2018-12-16,20,False
2018-12-23,23,False
2018-12-30,100,False
2019-01-06,20,False
2019-01-13,69,False
2019-01-20,18,False
2019-01-27,0,False
2019-02-03,40,False
2019-02-10,21,False
2019-02-17,20,False
2019-02-24,52,False
2019-03-03,20,False
2019-03-10,70,False
2019-03-17,30,False
2019-03-24,21,False
2019-03-31,40,False
2019-04-07,31,False
2019-04-14,21,False
2019-04-21,20,False
2019-04-28,20,False
2019-05-05,60,False
2019-05-12,20,False
2019-05-19,40,False
2019-05-26,40,False
2019-06-02,56,False
2019-06-09,69,False
2019-06-16,0,False
2019-06-23,30,False
2019-06-30,40,False
2019-07-07,41,False
2019-07-14,41,False
2019-07-21,19,False
2019-07-28,30,False
2019-08-04,29,False
2019-08-11,29,False
2019-08-18,56,False
2019-08-25,0,False
2019-09-01,48,False
2019-09-08,59,False
2019-09-15,19,False
2019-09-22,56,False
2019-09-29,38,False
2019-10-06,28,False
2019-10-13,0,False
2019-10-20,37,False
2019-10-27,0,False
2019-11-03,35,False
2019-11-10,35,False
2019-11-17,36,False
2019-11-24,44,False
2019-12-01,28,False
2019-12-08,0,False
2019-12-15,27,False
2019-12-22,19,False
2019-12-29,19,False
2020-01-05,37,False
2020-01-12,25,False
2020-01-19,17,False
2020-01-26,17,False
2020-02-02,17,False
2020-02-09,35,False
2020-02-16,0,False
2020-02-23,42,False
2020-03-01,33,False
2020-03-08,32,False
2020-03-15,15,False
2020-03-22,29,False
2020-03-29,14,False
2020-04-05,15,False
2020-04-12,40,True
