date,Intrattenimento matrimonio,isPartial
2018-01-07,26,False
2018-01-14,26,False
2018-01-21,39,False
2018-01-28,26,False
2018-02-04,51,False
2018-02-11,26,False
2018-02-18,37,False
2018-02-25,49,False
2018-03-04,37,False
2018-03-11,25,False
2018-03-18,51,False
2018-03-25,27,False
2018-04-01,0,False
2018-04-08,26,False
2018-04-15,26,False
2018-04-22,27,False
2018-04-29,39,False
2018-05-06,51,False
2018-05-13,0,False
2018-05-20,26,False
2018-05-27,26,False
2018-06-03,0,False
2018-06-10,37,False
2018-06-17,0,False
2018-06-24,26,False
2018-07-01,51,False
2018-07-08,26,False
2018-07-15,53,False
2018-07-22,0,False
2018-07-29,27,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,29,False
2018-08-26,53,False
2018-09-02,38,False
2018-09-09,25,False
2018-09-16,100,False
2018-09-23,51,False
2018-09-30,25,False
2018-10-07,52,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,51,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,25,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,28,False
2019-01-06,52,False
2019-01-13,50,False
2019-01-20,24,False
2019-01-27,0,False
2019-02-03,24,False
2019-02-10,25,False
2019-02-17,0,False
2019-02-24,50,False
2019-03-03,26,False
2019-03-10,0,False
2019-03-17,26,False
2019-03-24,52,False
2019-03-31,76,False
2019-04-07,0,False
2019-04-14,27,False
2019-04-21,0,False
2019-04-28,25,False
2019-05-05,74,False
2019-05-12,25,False
2019-05-19,61,False
2019-05-26,35,False
2019-06-02,25,False
2019-06-09,25,False
2019-06-16,26,False
2019-06-23,26,False
2019-06-30,26,False
2019-07-07,25,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,53,False
2019-08-04,55,False
2019-08-11,0,False
2019-08-18,27,False
2019-08-25,0,False
2019-09-01,23,False
2019-09-08,24,False
2019-09-15,70,False
2019-09-22,47,False
2019-09-29,0,False
2019-10-06,73,False
2019-10-13,72,False
2019-10-20,46,False
2019-10-27,47,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,23,False
2019-11-24,23,False
2019-12-01,36,False
2019-12-08,0,False
2019-12-15,36,False
2019-12-22,28,False
2019-12-29,27,False
2020-01-05,0,False
2020-01-12,22,False
2020-01-19,22,False
2020-01-26,44,False
2020-02-02,44,False
2020-02-09,45,False
2020-02-16,45,False
2020-02-23,21,False
2020-03-01,0,False
2020-03-08,20,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,20,False
2020-04-12,20,False
2020-04-19,0,False
2020-04-26,0,True
