date,Blumen Blumenladen,isPartial
2018-01-07,24,False
2018-01-14,16,False
2018-01-21,31,False
2018-01-28,25,False
2018-02-04,17,False
2018-02-11,16,False
2018-02-18,16,False
2018-02-25,32,False
2018-03-04,24,False
2018-03-11,0,False
2018-03-18,24,False
2018-03-25,42,False
2018-04-01,0,False
2018-04-08,17,False
2018-04-15,51,False
2018-04-22,17,False
2018-04-29,59,False
2018-05-06,35,False
2018-05-13,16,False
2018-05-20,34,False
2018-05-27,16,False
2018-06-03,16,False
2018-06-10,32,False
2018-06-17,49,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,18,False
2018-07-15,18,False
2018-07-22,57,False
2018-07-29,0,False
2018-08-05,62,False
2018-08-12,0,False
2018-08-19,33,False
2018-08-26,50,False
2018-09-02,34,False
2018-09-09,17,False
2018-09-16,16,False
2018-09-23,33,False
2018-09-30,0,False
2018-10-07,35,False
2018-10-14,17,False
2018-10-21,50,False
2018-10-28,24,False
2018-11-04,39,False
2018-11-11,16,False
2018-11-18,32,False
2018-11-25,16,False
2018-12-02,40,False
2018-12-09,0,False
2018-12-16,25,False
2018-12-23,62,False
2018-12-30,18,False
2019-01-06,0,False
2019-01-13,16,False
2019-01-20,0,False
2019-01-27,38,False
2019-02-03,24,False
2019-02-10,56,False
2019-02-17,24,False
2019-02-24,24,False
2019-03-03,46,False
2019-03-10,0,False
2019-03-17,48,False
2019-03-24,24,False
2019-03-31,32,False
2019-04-07,22,False
2019-04-14,26,False
2019-04-21,17,False
2019-04-28,23,False
2019-05-05,31,False
2019-05-12,55,False
2019-05-19,23,False
2019-05-26,17,False
2019-06-02,16,False
2019-06-09,31,False
2019-06-16,16,False
2019-06-23,51,False
2019-06-30,33,False
2019-07-07,17,False
2019-07-14,54,False
2019-07-21,39,False
2019-07-28,29,False
2019-08-04,0,False
2019-08-11,33,False
2019-08-18,32,False
2019-08-25,32,False
2019-09-01,30,False
2019-09-08,16,False
2019-09-15,0,False
2019-09-22,15,False
2019-09-29,16,False
2019-10-06,16,False
2019-10-13,16,False
2019-10-20,15,False
2019-10-27,45,False
2019-11-03,29,False
2019-11-10,15,False
2019-11-17,15,False
2019-11-24,15,False
2019-12-01,30,False
2019-12-08,15,False
2019-12-15,15,False
2019-12-22,45,False
2019-12-29,17,False
2020-01-05,22,False
2020-01-12,21,False
2020-01-19,14,False
2020-01-26,28,False
2020-02-02,29,False
2020-02-09,36,False
2020-02-16,22,False
2020-02-23,14,False
2020-03-01,14,False
2020-03-08,13,False
2020-03-15,27,False
2020-03-22,64,False
2020-03-29,52,False
2020-04-05,100,False
2020-04-12,56,False
2020-04-19,59,False
2020-04-26,31,False
2020-05-03,99,False
2020-05-10,53,False
2020-05-17,43,False
2020-05-24,14,False
2020-05-31,0,False
2020-06-07,0,False
2020-06-14,13,False
2020-06-21,14,False
2020-06-28,35,False
2020-07-05,37,False
