date,Waschmaschine defekt,isPartial
2018-01-07,51,False
2018-01-14,25,False
2018-01-21,51,False
2018-01-28,43,False
2018-02-04,53,False
2018-02-11,26,False
2018-02-18,0,False
2018-02-25,52,False
2018-03-04,52,False
2018-03-11,0,False
2018-03-18,52,False
2018-03-25,37,False
2018-04-01,0,False
2018-04-08,26,False
2018-04-15,27,False
2018-04-22,34,False
2018-04-29,27,False
2018-05-06,27,False
2018-05-13,51,False
2018-05-20,27,False
2018-05-27,26,False
2018-06-03,52,False
2018-06-10,25,False
2018-06-17,38,False
2018-06-24,39,False
2018-07-01,76,False
2018-07-08,50,False
2018-07-15,44,False
2018-07-22,41,False
2018-07-29,28,False
2018-08-05,55,False
2018-08-12,41,False
2018-08-19,53,False
2018-08-26,80,False
2018-09-02,53,False
2018-09-09,79,False
2018-09-16,26,False
2018-09-23,40,False
2018-09-30,53,False
2018-10-07,26,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,39,False
2018-11-04,37,False
2018-11-11,38,False
2018-11-18,37,False
2018-11-25,37,False
2018-12-02,100,False
2018-12-09,25,False
2018-12-16,39,False
2018-12-23,39,False
2018-12-30,67,False
2019-01-06,24,False
2019-01-13,24,False
2019-01-20,24,False
2019-01-27,24,False
2019-02-03,36,False
2019-02-10,24,False
2019-02-17,24,False
2019-02-24,50,False
2019-03-03,24,False
2019-03-10,24,False
2019-03-17,25,False
2019-03-24,25,False
2019-03-31,0,False
2019-04-07,25,False
2019-04-14,27,False
2019-04-21,53,False
2019-04-28,25,False
2019-05-05,24,False
2019-05-12,25,False
2019-05-19,25,False
2019-05-26,25,False
2019-06-02,37,False
2019-06-09,0,False
2019-06-16,38,False
2019-06-23,25,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,26,False
2019-07-21,56,False
2019-07-28,27,False
2019-08-04,68,False
2019-08-11,52,False
2019-08-18,0,False
2019-08-25,50,False
2019-09-01,24,False
2019-09-08,0,False
2019-09-15,50,False
2019-09-22,24,False
2019-09-29,24,False
2019-10-06,24,False
2019-10-13,32,False
2019-10-20,40,False
2019-10-27,0,False
2019-11-03,45,False
2019-11-10,46,False
2019-11-17,38,False
2019-11-24,22,False
2019-12-01,0,False
2019-12-08,46,False
2019-12-15,0,False
2019-12-22,40,False
2019-12-29,25,False
2020-01-05,22,False
2020-01-12,32,False
2020-01-19,78,False
2020-01-26,36,False
2020-02-02,32,False
2020-02-09,21,False
2020-02-16,22,False
2020-02-23,21,False
2020-03-01,21,False
2020-03-08,30,False
2020-03-15,20,False
2020-03-22,0,False
2020-03-29,19,False
2020-04-05,0,False
2020-04-12,20,False
2020-04-19,20,False
2020-04-26,19,False
2020-05-03,40,False
2020-05-10,40,False
