date,Tapeten,isPartial
2018-01-07,20,False
2018-01-14,20,False
2018-01-21,45,False
2018-01-28,39,False
2018-02-04,46,False
2018-02-11,33,False
2018-02-18,100,False
2018-02-25,33,False
2018-03-04,46,False
2018-03-11,32,False
2018-03-18,34,False
2018-03-25,22,False
2018-04-01,28,False
2018-04-08,39,False
2018-04-15,40,False
2018-04-22,19,False
2018-04-29,54,False
2018-05-06,44,False
2018-05-13,20,False
2018-05-20,35,False
2018-05-27,19,False
2018-06-03,20,False
2018-06-10,20,False
2018-06-17,29,False
2018-06-24,0,False
2018-07-01,21,False
2018-07-08,29,False
2018-07-15,23,False
2018-07-22,22,False
2018-07-29,28,False
2018-08-05,30,False
2018-08-12,46,False
2018-08-19,20,False
2018-08-26,0,False
2018-09-02,30,False
2018-09-09,20,False
2018-09-16,40,False
2018-09-23,41,False
2018-09-30,36,False
2018-10-07,28,False
2018-10-14,59,False
2018-10-21,29,False
2018-10-28,29,False
2018-11-04,38,False
2018-11-11,29,False
2018-11-18,37,False
2018-11-25,26,False
2018-12-02,0,False
2018-12-09,20,False
2018-12-16,31,False
2018-12-23,50,False
2018-12-30,30,False
2019-01-06,29,False
2019-01-13,38,False
2019-01-20,66,False
2019-01-27,39,False
2019-02-03,38,False
2019-02-10,77,False
2019-02-17,19,False
2019-02-24,33,False
2019-03-03,38,False
2019-03-10,44,False
2019-03-17,26,False
2019-03-24,59,False
2019-03-31,60,False
2019-04-07,52,False
2019-04-14,57,False
2019-04-21,32,False
2019-04-28,33,False
2019-05-05,45,False
2019-05-12,33,False
2019-05-19,29,False
2019-05-26,30,False
2019-06-02,29,False
2019-06-09,30,False
2019-06-16,39,False
2019-06-23,20,False
2019-06-30,19,False
2019-07-07,30,False
2019-07-14,32,False
2019-07-21,38,False
2019-07-28,37,False
2019-08-04,0,False
2019-08-11,38,False
2019-08-18,40,False
2019-08-25,39,False
2019-09-01,27,False
2019-09-08,25,False
2019-09-15,39,False
2019-09-22,38,False
2019-09-29,29,False
2019-10-06,29,False
2019-10-13,56,False
2019-10-20,18,False
2019-10-27,18,False
2019-11-03,27,False
2019-11-10,18,False
2019-11-17,27,False
2019-11-24,17,False
2019-12-01,24,False
2019-12-08,28,False
2019-12-15,19,False
2019-12-22,23,False
2019-12-29,41,False
2020-01-05,29,False
2020-01-12,39,False
2020-01-19,70,False
2020-01-26,35,False
2020-02-02,18,False
2020-02-09,87,False
2020-02-16,18,False
2020-02-23,34,False
2020-03-01,35,False
2020-03-08,17,False
2020-03-15,37,False
2020-03-22,24,False
2020-03-29,27,False
2020-04-05,36,False
2020-04-12,25,False
2020-04-19,33,False
2020-04-26,32,False
2020-05-03,15,False
2020-05-10,38,False
