date,tagli di capelli,isPartial
2018-01-07,68,False
2018-01-14,34,False
2018-01-21,41,False
2018-01-28,33,False
2018-02-04,61,False
2018-02-11,55,False
2018-02-18,42,False
2018-02-25,34,False
2018-03-04,35,False
2018-03-11,56,False
2018-03-18,22,False
2018-03-25,44,False
2018-04-01,46,False
2018-04-08,37,False
2018-04-15,46,False
2018-04-22,62,False
2018-04-29,52,False
2018-05-06,73,False
2018-05-13,29,False
2018-05-20,36,False
2018-05-27,81,False
2018-06-03,59,False
2018-06-10,71,False
2018-06-17,29,False
2018-06-24,22,False
2018-07-01,43,False
2018-07-08,58,False
2018-07-15,58,False
2018-07-22,44,False
2018-07-29,22,False
2018-08-05,60,False
2018-08-12,49,False
2018-08-19,89,False
2018-08-26,35,False
2018-09-02,77,False
2018-09-09,22,False
2018-09-16,36,False
2018-09-23,44,False
2018-09-30,51,False
2018-10-07,52,False
2018-10-14,61,False
2018-10-21,58,False
2018-10-28,28,False
2018-11-04,35,False
2018-11-11,37,False
2018-11-18,0,False
2018-11-25,73,False
2018-12-02,38,False
2018-12-09,100,False
2018-12-16,48,False
2018-12-23,26,False
2018-12-30,31,False
2019-01-06,36,False
2019-01-13,35,False
2019-01-20,94,False
2019-01-27,40,False
2019-02-03,40,False
2019-02-10,27,False
2019-02-17,48,False
2019-02-24,55,False
2019-03-03,56,False
2019-03-10,84,False
2019-03-17,35,False
2019-03-24,14,False
2019-03-31,69,False
2019-04-07,62,False
2019-04-14,36,False
2019-04-21,36,False
2019-04-28,54,False
2019-05-05,26,False
2019-05-12,33,False
2019-05-19,39,False
2019-05-26,38,False
2019-06-02,63,False
2019-06-09,21,False
2019-06-16,55,False
2019-06-23,85,False
2019-06-30,14,False
2019-07-07,57,False
2019-07-14,30,False
2019-07-21,29,False
2019-07-28,58,False
2019-08-04,38,False
2019-08-11,16,False
2019-08-18,37,False
2019-08-25,47,False
2019-09-01,32,False
2019-09-08,62,False
2019-09-15,69,False
2019-09-22,48,False
2019-09-29,47,False
2019-10-06,73,False
2019-10-13,46,False
2019-10-20,46,False
2019-10-27,39,False
2019-11-03,76,False
2019-11-10,25,False
2019-11-17,44,False
2019-11-24,45,False
2019-12-01,46,False
2019-12-08,40,False
2019-12-15,27,False
2019-12-22,23,False
2019-12-29,29,False
2020-01-05,19,False
2020-01-12,48,False
2020-01-19,68,False
2020-01-26,43,False
2020-02-02,61,False
2020-02-09,87,False
2020-02-16,25,False
2020-02-23,29,False
2020-03-01,29,False
2020-03-08,11,False
2020-03-15,28,False
2020-03-22,21,False
2020-03-29,11,False
2020-04-05,34,False
2020-04-12,28,False
2020-04-19,16,False
2020-04-26,19,True
