date,tagli di capelli,isPartial
2018-01-07,42,False
2018-01-14,49,False
2018-01-21,14,False
2018-01-28,28,False
2018-02-04,13,False
2018-02-11,26,False
2018-02-18,33,False
2018-02-25,13,False
2018-03-04,27,False
2018-03-11,41,False
2018-03-18,27,False
2018-03-25,36,False
2018-04-01,45,False
2018-04-08,57,False
2018-04-15,21,False
2018-04-22,58,False
2018-04-29,15,False
2018-05-06,14,False
2018-05-13,28,False
2018-05-20,14,False
2018-05-27,15,False
2018-06-03,22,False
2018-06-10,14,False
2018-06-17,27,False
2018-06-24,27,False
2018-07-01,29,False
2018-07-08,13,False
2018-07-15,14,False
2018-07-22,32,False
2018-07-29,18,False
2018-08-05,18,False
2018-08-12,20,False
2018-08-19,19,False
2018-08-26,35,False
2018-09-02,14,False
2018-09-09,30,False
2018-09-16,22,False
2018-09-23,0,False
2018-09-30,42,False
2018-10-07,30,False
2018-10-14,14,False
2018-10-21,29,False
2018-10-28,28,False
2018-11-04,14,False
2018-11-11,15,False
2018-11-18,15,False
2018-11-25,58,False
2018-12-02,61,False
2018-12-09,15,False
2018-12-16,16,False
2018-12-23,48,False
2018-12-30,15,False
2019-01-06,14,False
2019-01-13,100,False
2019-01-20,34,False
2019-01-27,21,False
2019-02-03,28,False
2019-02-10,27,False
2019-02-17,0,False
2019-02-24,35,False
2019-03-03,0,False
2019-03-10,28,False
2019-03-17,29,False
2019-03-24,36,False
2019-03-31,29,False
2019-04-07,29,False
2019-04-14,15,False
2019-04-21,30,False
2019-04-28,22,False
2019-05-05,22,False
2019-05-12,29,False
2019-05-19,14,False
2019-05-26,27,False
2019-06-02,29,False
2019-06-09,15,False
2019-06-16,29,False
2019-06-23,43,False
2019-06-30,15,False
2019-07-07,0,False
2019-07-14,21,False
2019-07-21,35,False
2019-07-28,20,False
2019-08-04,24,False
2019-08-11,12,False
2019-08-18,34,False
2019-08-25,23,False
2019-09-01,19,False
2019-09-08,29,False
2019-09-15,15,False
2019-09-22,22,False
2019-09-29,15,False
2019-10-06,29,False
2019-10-13,15,False
2019-10-20,29,False
2019-10-27,44,False
2019-11-03,35,False
2019-11-10,29,False
2019-11-17,44,False
2019-11-24,21,False
2019-12-01,30,False
2019-12-08,29,False
2019-12-15,15,False
2019-12-22,15,False
2019-12-29,43,False
2020-01-05,0,False
2020-01-12,26,False
2020-01-19,54,False
2020-01-26,26,False
2020-02-02,13,False
2020-02-09,48,False
2020-02-16,33,False
2020-02-23,37,False
2020-03-01,25,False
2020-03-08,11,False
2020-03-15,0,False
2020-03-22,10,False
2020-03-29,31,False
2020-04-05,11,False
2020-04-12,23,False
2020-04-19,11,False
2020-04-26,19,True
