date,tagli di capelli,isPartial
2018-01-07,31,False
2018-01-14,31,False
2018-01-21,30,False
2018-01-28,60,False
2018-02-04,45,False
2018-02-11,30,False
2018-02-18,89,False
2018-02-25,73,False
2018-03-04,0,False
2018-03-11,59,False
2018-03-18,29,False
2018-03-25,91,False
2018-04-01,32,False
2018-04-08,87,False
2018-04-15,46,False
2018-04-22,62,False
2018-04-29,28,False
2018-05-06,72,False
2018-05-13,29,False
2018-05-20,43,False
2018-05-27,29,False
2018-06-03,56,False
2018-06-10,39,False
2018-06-17,0,False
2018-06-24,100,False
2018-07-01,83,False
2018-07-08,71,False
2018-07-15,47,False
2018-07-22,47,False
2018-07-29,47,False
2018-08-05,22,False
2018-08-12,45,False
2018-08-19,23,False
2018-08-26,48,False
2018-09-02,23,False
2018-09-09,46,False
2018-09-16,34,False
2018-09-23,0,False
2018-09-30,27,False
2018-10-07,43,False
2018-10-14,29,False
2018-10-21,61,False
2018-10-28,30,False
2018-11-04,29,False
2018-11-11,61,False
2018-11-18,29,False
2018-11-25,59,False
2018-12-02,62,False
2018-12-09,31,False
2018-12-16,81,False
2018-12-23,35,False
2018-12-30,50,False
2019-01-06,31,False
2019-01-13,90,False
2019-01-20,56,False
2019-01-27,57,False
2019-02-03,30,False
2019-02-10,0,False
2019-02-17,62,False
2019-02-24,43,False
2019-03-03,63,False
2019-03-10,76,False
2019-03-17,46,False
2019-03-24,62,False
2019-03-31,60,False
2019-04-07,44,False
2019-04-14,60,False
2019-04-21,31,False
2019-04-28,30,False
2019-05-05,29,False
2019-05-12,29,False
2019-05-19,56,False
2019-05-26,27,False
2019-06-02,29,False
2019-06-09,27,False
2019-06-16,0,False
2019-06-23,54,False
2019-06-30,40,False
2019-07-07,51,False
2019-07-14,37,False
2019-07-21,25,False
2019-07-28,37,False
2019-08-04,24,False
2019-08-11,45,False
2019-08-18,53,False
2019-08-25,22,False
2019-09-01,67,False
2019-09-08,60,False
2019-09-15,49,False
2019-09-22,0,False
2019-09-29,52,False
2019-10-06,52,False
2019-10-13,54,False
2019-10-20,78,False
2019-10-27,27,False
2019-11-03,64,False
2019-11-10,90,False
2019-11-17,91,False
2019-11-24,37,False
2019-12-01,25,False
2019-12-08,54,False
2019-12-15,66,False
2019-12-22,59,False
2019-12-29,83,False
2020-01-05,25,False
2020-01-12,71,False
2020-01-19,24,False
2020-01-26,24,False
2020-02-02,24,False
2020-02-09,24,False
2020-02-16,61,False
2020-02-23,47,False
2020-03-01,22,False
2020-03-08,21,False
2020-03-15,31,False
2020-03-22,40,False
2020-03-29,0,False
2020-04-05,22,False
2020-04-12,44,False
2020-04-19,0,False
2020-04-26,37,True
