date,Heizungsinstallateur,isPartial
2018-01-07,63,False
2018-01-14,70,False
2018-01-21,62,False
2018-01-28,62,False
2018-02-04,55,False
2018-02-11,60,False
2018-02-18,51,False
2018-02-25,50,False
2018-03-04,29,False
2018-03-11,55,False
2018-03-18,34,False
2018-03-25,45,False
2018-04-01,41,False
2018-04-08,39,False
2018-04-15,31,False
2018-04-22,21,False
2018-04-29,58,False
2018-05-06,22,False
2018-05-13,59,False
2018-05-20,27,False
2018-05-27,39,False
2018-06-03,32,False
2018-06-10,21,False
2018-06-17,44,False
2018-06-24,60,False
2018-07-01,19,False
2018-07-08,38,False
2018-07-15,26,False
2018-07-22,26,False
2018-07-29,40,False
2018-08-05,43,False
2018-08-12,35,False
2018-08-19,39,False
2018-08-26,57,False
2018-09-02,47,False
2018-09-09,51,False
2018-09-16,51,False
2018-09-23,68,False
2018-09-30,98,False
2018-10-07,72,False
2018-10-14,55,False
2018-10-21,71,False
2018-10-28,75,False
2018-11-04,69,False
2018-11-11,50,False
2018-11-18,100,False
2018-11-25,58,False
2018-12-02,65,False
2018-12-09,78,False
2018-12-16,51,False
2018-12-23,49,False
2018-12-30,35,False
2019-01-06,63,False
2019-01-13,70,False
2019-01-20,77,False
2019-01-27,77,False
2019-02-03,99,False
2019-02-10,52,False
2019-02-17,64,False
2019-02-24,37,False
2019-03-03,47,False
2019-03-10,59,False
2019-03-17,29,False
2019-03-24,20,False
2019-03-31,61,False
2019-04-07,40,False
2019-04-14,44,False
2019-04-21,38,False
2019-04-28,60,False
2019-05-05,47,False
2019-05-12,41,False
2019-05-19,40,False
2019-05-26,33,False
2019-06-02,32,False
2019-06-09,49,False
2019-06-16,31,False
2019-06-23,37,False
2019-06-30,41,False
2019-07-07,48,False
2019-07-14,44,False
2019-07-21,22,False
2019-07-28,30,False
2019-08-04,26,False
2019-08-11,61,False
2019-08-18,37,False
2019-08-25,37,False
2019-09-01,40,False
2019-09-08,44,False
2019-09-15,40,False
2019-09-22,63,False
2019-09-29,51,False
2019-10-06,55,False
2019-10-13,43,False
2019-10-20,81,False
2019-10-27,61,False
2019-11-03,66,False
2019-11-10,56,False
2019-11-17,48,False
2019-11-24,62,False
2019-12-01,56,False
2019-12-08,53,False
2019-12-15,61,False
2019-12-22,39,False
2019-12-29,41,False
2020-01-05,62,False
2020-01-12,45,False
2020-01-19,64,False
2020-01-26,60,False
2020-02-02,71,False
2020-02-09,49,False
2020-02-16,72,False
2020-02-23,53,False
2020-03-01,42,False
2020-03-08,33,False
2020-03-15,19,False
2020-03-22,51,False
2020-03-29,48,False
2020-04-05,42,False
2020-04-12,30,False
2020-04-19,39,False
2020-04-26,54,False
2020-05-03,35,False
2020-05-10,32,False
