date,Heizungsinstallateur,isPartial
2018-01-07,38,False
2018-01-14,49,False
2018-01-21,100,False
2018-01-28,25,False
2018-02-04,78,False
2018-02-11,43,False
2018-02-18,42,False
2018-02-25,50,False
2018-03-04,25,False
2018-03-11,63,False
2018-03-18,38,False
2018-03-25,55,False
2018-04-01,54,False
2018-04-08,68,False
2018-04-15,26,False
2018-04-22,25,False
2018-04-29,52,False
2018-05-06,53,False
2018-05-13,0,False
2018-05-20,40,False
2018-05-27,25,False
2018-06-03,25,False
2018-06-10,49,False
2018-06-17,74,False
2018-06-24,38,False
2018-07-01,0,False
2018-07-08,24,False
2018-07-15,39,False
2018-07-22,44,False
2018-07-29,54,False
2018-08-05,27,False
2018-08-12,27,False
2018-08-19,0,False
2018-08-26,64,False
2018-09-02,51,False
2018-09-09,51,False
2018-09-16,38,False
2018-09-23,43,False
2018-09-30,39,False
2018-10-07,43,False
2018-10-14,26,False
2018-10-21,65,False
2018-10-28,42,False
2018-11-04,49,False
2018-11-11,50,False
2018-11-18,48,False
2018-11-25,57,False
2018-12-02,41,False
2018-12-09,49,False
2018-12-16,0,False
2018-12-23,29,False
2018-12-30,44,False
2019-01-06,55,False
2019-01-13,47,False
2019-01-20,70,False
2019-01-27,23,False
2019-02-03,70,False
2019-02-10,48,False
2019-02-17,60,False
2019-02-24,25,False
2019-03-03,24,False
2019-03-10,70,False
2019-03-17,24,False
2019-03-24,49,False
2019-03-31,48,False
2019-04-07,65,False
2019-04-14,27,False
2019-04-21,52,False
2019-04-28,73,False
2019-05-05,31,False
2019-05-12,61,False
2019-05-19,48,False
2019-05-26,0,False
2019-06-02,48,False
2019-06-09,49,False
2019-06-16,25,False
2019-06-23,37,False
2019-06-30,40,False
2019-07-07,95,False
2019-07-14,25,False
2019-07-21,55,False
2019-07-28,26,False
2019-08-04,53,False
2019-08-11,64,False
2019-08-18,25,False
2019-08-25,61,False
2019-09-01,24,False
2019-09-08,49,False
2019-09-15,24,False
2019-09-22,72,False
2019-09-29,40,False
2019-10-06,54,False
2019-10-13,71,False
2019-10-20,48,False
2019-10-27,35,False
2019-11-03,22,False
2019-11-10,60,False
2019-11-17,44,False
2019-11-24,65,False
2019-12-01,67,False
2019-12-08,34,False
2019-12-15,56,False
2019-12-22,0,False
2019-12-29,49,False
2020-01-05,65,False
2020-01-12,62,False
2020-01-19,50,False
2020-01-26,32,False
2020-02-02,32,False
2020-02-09,41,False
2020-02-16,50,False
2020-02-23,62,False
2020-03-01,21,False
2020-03-08,39,False
2020-03-15,19,False
2020-03-22,39,False
2020-03-29,19,False
2020-04-05,35,False
2020-04-12,30,False
2020-04-19,20,False
2020-04-26,25,False
2020-05-03,39,False
2020-05-10,29,False
