date,Entrümpelungsfirma,isPartial
2018-01-07,40,False
2018-01-14,26,False
2018-01-21,40,False
2018-01-28,53,False
2018-02-04,54,False
2018-02-11,36,False
2018-02-18,36,False
2018-02-25,80,False
2018-03-04,40,False
2018-03-11,27,False
2018-03-18,54,False
2018-03-25,85,False
2018-04-01,43,False
2018-04-08,28,False
2018-04-15,28,False
2018-04-22,0,False
2018-04-29,42,False
2018-05-06,28,False
2018-05-13,27,False
2018-05-20,29,False
2018-05-27,83,False
2018-06-03,41,False
2018-06-10,53,False
2018-06-17,27,False
2018-06-24,27,False
2018-07-01,27,False
2018-07-08,27,False
2018-07-15,0,False
2018-07-22,65,False
2018-07-29,28,False
2018-08-05,55,False
2018-08-12,57,False
2018-08-19,42,False
2018-08-26,28,False
2018-09-02,46,False
2018-09-09,27,False
2018-09-16,27,False
2018-09-23,27,False
2018-09-30,27,False
2018-10-07,41,False
2018-10-14,27,False
2018-10-21,27,False
2018-10-28,26,False
2018-11-04,26,False
2018-11-11,40,False
2018-11-18,51,False
2018-11-25,26,False
2018-12-02,26,False
2018-12-09,26,False
2018-12-16,27,False
2018-12-23,52,False
2018-12-30,0,False
2019-01-06,50,False
2019-01-13,25,False
2019-01-20,25,False
2019-01-27,25,False
2019-02-03,100,False
2019-02-10,51,False
2019-02-17,51,False
2019-02-24,0,False
2019-03-03,38,False
2019-03-10,25,False
2019-03-17,52,False
2019-03-24,26,False
2019-03-31,26,False
2019-04-07,51,False
2019-04-14,37,False
2019-04-21,27,False
2019-04-28,25,False
2019-05-05,25,False
2019-05-12,65,False
2019-05-19,51,False
2019-05-26,35,False
2019-06-02,25,False
2019-06-09,0,False
2019-06-16,70,False
2019-06-23,39,False
2019-06-30,26,False
2019-07-07,38,False
2019-07-14,40,False
2019-07-21,0,False
2019-07-28,41,False
2019-08-04,27,False
2019-08-11,26,False
2019-08-18,0,False
2019-08-25,26,False
2019-09-01,25,False
2019-09-08,38,False
2019-09-15,64,False
2019-09-22,25,False
2019-09-29,42,False
2019-10-06,66,False
2019-10-13,25,False
2019-10-20,37,False
2019-10-27,49,False
2019-11-03,39,False
2019-11-10,48,False
2019-11-17,48,False
2019-11-24,23,False
2019-12-01,36,False
2019-12-08,48,False
2019-12-15,24,False
2019-12-22,28,False
2019-12-29,26,False
2020-01-05,69,False
2020-01-12,66,False
2020-01-19,23,False
2020-01-26,38,False
2020-02-02,53,False
2020-02-09,44,False
2020-02-16,46,False
2020-02-23,67,False
2020-03-01,44,False
2020-03-08,84,False
2020-03-15,41,False
2020-03-22,30,False
2020-03-29,41,False
2020-04-05,22,False
2020-04-12,64,False
2020-04-19,52,False
2020-04-26,30,False
2020-05-03,34,False
2020-05-10,41,False
