date,maquillaje novias,isPartial
2018-01-07,28,False
2018-01-14,57,False
2018-01-21,19,False
2018-01-28,37,False
2018-02-04,37,False
2018-02-11,47,False
2018-02-18,38,False
2018-02-25,54,False
2018-03-04,37,False
2018-03-11,18,False
2018-03-18,38,False
2018-03-25,42,False
2018-04-01,19,False
2018-04-08,54,False
2018-04-15,75,False
2018-04-22,37,False
2018-04-29,0,False
2018-05-06,18,False
2018-05-13,57,False
2018-05-20,37,False
2018-05-27,46,False
2018-06-03,36,False
2018-06-10,35,False
2018-06-17,19,False
2018-06-24,38,False
2018-07-01,58,False
2018-07-08,19,False
2018-07-15,39,False
2018-07-22,20,False
2018-07-29,50,False
2018-08-05,59,False
2018-08-12,50,False
2018-08-19,61,False
2018-08-26,19,False
2018-09-02,55,False
2018-09-09,56,False
2018-09-16,37,False
2018-09-23,18,False
2018-09-30,18,False
2018-10-07,75,False
2018-10-14,54,False
2018-10-21,18,False
2018-10-28,19,False
2018-11-04,26,False
2018-11-11,53,False
2018-11-18,35,False
2018-11-25,36,False
2018-12-02,19,False
2018-12-09,19,False
2018-12-16,19,False
2018-12-23,22,False
2018-12-30,20,False
2019-01-06,19,False
2019-01-13,0,False
2019-01-20,17,False
2019-01-27,43,False
2019-02-03,27,False
2019-02-10,36,False
2019-02-17,37,False
2019-02-24,54,False
2019-03-03,46,False
2019-03-10,37,False
2019-03-17,47,False
2019-03-24,18,False
2019-03-31,35,False
2019-04-07,27,False
2019-04-14,19,False
2019-04-21,54,False
2019-04-28,53,False
2019-05-05,26,False
2019-05-12,36,False
2019-05-19,17,False
2019-05-26,17,False
2019-06-02,26,False
2019-06-09,60,False
2019-06-16,18,False
2019-06-23,18,False
2019-06-30,27,False
2019-07-07,54,False
2019-07-14,37,False
2019-07-21,28,False
2019-07-28,39,False
2019-08-04,19,False
2019-08-11,19,False
2019-08-18,38,False
2019-08-25,71,False
2019-09-01,17,False
2019-09-08,51,False
2019-09-15,100,False
2019-09-22,25,False
2019-09-29,34,False
2019-10-06,0,False
2019-10-13,24,False
2019-10-20,16,False
2019-10-27,0,False
2019-11-03,16,False
2019-11-10,24,False
2019-11-17,32,False
2019-11-24,31,False
2019-12-01,50,False
2019-12-08,17,False
2019-12-15,16,False
2019-12-22,0,False
2019-12-29,18,False
2020-01-05,41,False
2020-01-12,46,False
2020-01-19,60,False
2020-01-26,39,False
2020-02-02,15,False
2020-02-09,31,False
2020-02-16,16,False
2020-02-23,53,False
2020-03-01,22,False
2020-03-08,29,False
2020-03-15,14,False
2020-03-22,14,False
2020-03-29,14,False
2020-04-05,0,False
2020-04-12,0,True
