date,Sektionaltor,isPartial
2018-01-07,0,False
2018-01-14,39,False
2018-01-21,0,False
2018-01-28,40,False
2018-02-04,41,False
2018-02-11,0,False
2018-02-18,65,False
2018-02-25,39,False
2018-03-04,39,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,41,False
2018-04-01,63,False
2018-04-08,42,False
2018-04-15,43,False
2018-04-22,41,False
2018-04-29,43,False
2018-05-06,44,False
2018-05-13,0,False
2018-05-20,43,False
2018-05-27,0,False
2018-06-03,41,False
2018-06-10,0,False
2018-06-17,39,False
2018-06-24,40,False
2018-07-01,84,False
2018-07-08,41,False
2018-07-15,71,False
2018-07-22,42,False
2018-07-29,41,False
2018-08-05,58,False
2018-08-12,39,False
2018-08-19,80,False
2018-08-26,41,False
2018-09-02,0,False
2018-09-09,40,False
2018-09-16,40,False
2018-09-23,100,False
2018-09-30,85,False
2018-10-07,42,False
2018-10-14,40,False
2018-10-21,39,False
2018-10-28,51,False
2018-11-04,38,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,38,False
2018-12-16,38,False
2018-12-23,81,False
2018-12-30,38,False
2019-01-06,35,False
2019-01-13,35,False
2019-01-20,35,False
2019-01-27,35,False
2019-02-03,48,False
2019-02-10,38,False
2019-02-17,92,False
2019-02-24,49,False
2019-03-03,36,False
2019-03-10,0,False
2019-03-17,56,False
2019-03-24,37,False
2019-03-31,38,False
2019-04-07,37,False
2019-04-14,39,False
2019-04-21,79,False
2019-04-28,73,False
2019-05-05,36,False
2019-05-12,37,False
2019-05-19,55,False
2019-05-26,76,False
2019-06-02,37,False
2019-06-09,55,False
2019-06-16,74,False
2019-06-23,38,False
2019-06-30,37,False
2019-07-07,0,False
2019-07-14,79,False
2019-07-21,81,False
2019-07-28,38,False
2019-08-04,78,False
2019-08-11,49,False
2019-08-18,56,False
2019-08-25,54,False
2019-09-01,0,False
2019-09-08,37,False
2019-09-15,72,False
2019-09-22,35,False
2019-09-29,53,False
2019-10-06,48,False
2019-10-13,85,False
2019-10-20,52,False
2019-10-27,56,False
2019-11-03,33,False
2019-11-10,50,False
2019-11-17,33,False
2019-11-24,32,False
2019-12-01,85,False
2019-12-08,34,False
2019-12-15,67,False
2019-12-22,0,False
2019-12-29,34,False
2020-01-05,32,False
2020-01-12,31,False
2020-01-19,42,False
2020-01-26,62,False
2020-02-02,62,False
2020-02-09,32,False
2020-02-16,31,False
2020-02-23,31,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,57,False
2020-03-22,27,False
2020-03-29,36,False
2020-04-05,78,False
2020-04-12,0,False
2020-04-19,57,False
2020-04-26,46,False
2020-05-03,48,False
2020-05-10,43,False
