date,peinado novia,isPartial
2018-01-07,0,False
2018-01-14,33,False
2018-01-21,33,False
2018-01-28,33,False
2018-02-04,33,False
2018-02-11,100,False
2018-02-18,67,False
2018-02-25,32,False
2018-03-04,49,False
2018-03-11,16,False
2018-03-18,67,False
2018-03-25,0,False
2018-04-01,68,False
2018-04-08,64,False
2018-04-15,16,False
2018-04-22,33,False
2018-04-29,17,False
2018-05-06,64,False
2018-05-13,67,False
2018-05-20,65,False
2018-05-27,32,False
2018-06-03,16,False
2018-06-10,31,False
2018-06-17,34,False
2018-06-24,51,False
2018-07-01,34,False
2018-07-08,66,False
2018-07-15,17,False
2018-07-22,87,False
2018-07-29,17,False
2018-08-05,52,False
2018-08-12,18,False
2018-08-19,54,False
2018-08-26,17,False
2018-09-02,16,False
2018-09-09,66,False
2018-09-16,65,False
2018-09-23,48,False
2018-09-30,80,False
2018-10-07,66,False
2018-10-14,48,False
2018-10-21,16,False
2018-10-28,83,False
2018-11-04,47,False
2018-11-11,0,False
2018-11-18,15,False
2018-11-25,16,False
2018-12-02,0,False
2018-12-09,17,False
2018-12-16,17,False
2018-12-23,19,False
2018-12-30,36,False
2019-01-06,49,False
2019-01-13,47,False
2019-01-20,45,False
2019-01-27,45,False
2019-02-03,48,False
2019-02-10,32,False
2019-02-17,96,False
2019-02-24,96,False
2019-03-03,0,False
2019-03-10,49,False
2019-03-17,82,False
2019-03-24,0,False
2019-03-31,31,False
2019-04-07,16,False
2019-04-14,33,False
2019-04-21,32,False
2019-04-28,78,False
2019-05-05,31,False
2019-05-12,16,False
2019-05-19,46,False
2019-05-26,30,False
2019-06-02,61,False
2019-06-09,46,False
2019-06-16,64,False
2019-06-23,81,False
2019-06-30,16,False
2019-07-07,0,False
2019-07-14,66,False
2019-07-21,66,False
2019-07-28,34,False
2019-08-04,34,False
2019-08-11,51,False
2019-08-18,67,False
2019-08-25,79,False
2019-09-01,60,False
2019-09-08,60,False
2019-09-15,44,False
2019-09-22,15,False
2019-09-29,30,False
2019-10-06,30,False
2019-10-13,29,False
2019-10-20,0,False
2019-10-27,15,False
2019-11-03,28,False
2019-11-10,57,False
2019-11-17,29,False
2019-11-24,28,False
2019-12-01,0,False
2019-12-08,45,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,16,False
2020-01-05,14,False
2020-01-12,27,False
2020-01-19,13,False
2020-01-26,28,False
2020-02-02,14,False
2020-02-09,27,False
2020-02-16,69,False
2020-02-23,40,False
2020-03-01,40,False
2020-03-08,13,False
2020-03-15,13,False
2020-03-22,12,False
2020-03-29,12,False
2020-04-05,0,False
2020-04-12,21,True
