date,mariage traiteur_x,vegan mariage ,gateau mariage,poisson mariage ,buffet mariage,isPartial_x,mariage traiteur_y,mariage champagne,viande mariage ,mariage cocktail,isPartial_y
2018-01-07,33,0,67,0,0,False,33,0,0,0,False
2018-01-14,100,0,33,0,0,False,100,0,0,0,False
2018-01-21,0,0,34,0,0,False,0,0,0,0,False
2018-01-28,34,0,0,0,0,False,34,0,0,0,False
2018-02-04,68,0,34,0,0,False,68,0,0,0,False
2018-02-11,0,0,67,0,0,False,0,0,0,0,False
2018-02-18,34,0,35,0,0,False,34,0,0,0,False
2018-02-25,34,0,34,0,0,False,34,0,0,0,False
2018-03-04,0,0,34,0,0,False,0,0,0,0,False
2018-03-11,0,0,0,0,0,False,0,0,0,0,False
2018-03-18,52,0,35,0,0,False,52,0,0,0,False
2018-03-25,0,0,35,0,0,False,0,0,0,0,False
2018-04-01,35,0,0,0,0,False,35,0,0,0,False
2018-04-08,36,0,36,0,0,False,36,0,0,0,False
2018-04-15,38,0,38,0,0,False,38,0,0,0,False
2018-04-22,0,0,36,0,0,False,0,0,0,0,False
2018-04-29,0,0,37,0,0,False,0,0,0,0,False
2018-05-06,37,0,0,0,0,False,37,0,0,0,False
2018-05-13,35,0,70,0,0,False,35,0,0,0,False
2018-05-20,71,0,88,0,0,False,71,0,0,0,False
2018-05-27,35,0,35,0,0,False,35,0,0,0,False
2018-06-03,36,0,0,0,0,False,36,0,0,0,False
2018-06-10,0,0,34,0,0,False,0,0,0,0,False
2018-06-17,35,0,0,0,0,False,35,0,0,0,False
2018-06-24,0,0,0,0,0,False,0,0,0,0,False
2018-07-01,0,0,0,0,0,False,0,0,0,0,False
2018-07-08,0,0,37,0,0,False,0,0,0,0,False
2018-07-15,0,0,39,0,0,False,0,0,0,0,False
2018-07-22,0,0,79,0,0,False,0,0,0,0,False
2018-07-29,39,0,0,0,0,False,39,0,0,0,False
2018-08-05,0,0,39,0,0,False,0,0,0,0,False
2018-08-12,40,0,60,0,0,False,40,0,0,0,False
2018-08-19,38,0,38,0,0,False,38,0,0,0,False
2018-08-26,37,0,0,0,0,False,37,0,0,0,False
2018-09-02,0,0,0,0,0,False,0,0,0,0,False
2018-09-09,37,0,0,0,0,False,37,0,0,0,False
2018-09-16,36,0,36,0,0,False,36,0,0,0,False
2018-09-23,37,0,37,0,0,False,37,0,0,0,False
2018-09-30,37,0,55,0,0,False,37,0,0,0,False
2018-10-07,0,0,0,0,0,False,0,0,0,0,False
2018-10-14,75,0,37,0,0,False,75,0,0,0,False
