date,mariage traiteur,vegan mariage ,gateau mariage_x,poisson mariage ,buffet mariage,isPartial_x,gateau mariage_y,mariage champagne,viande mariage ,mariage cocktail,isPartial_y
2018-01-07,15.766523605150216,0.0,15.766523605150216,0.0,0.0,False,34,34,0,0,False
2018-01-14,0.0,0.0,15.273819742489271,0.0,0.0,False,34,0,0,0,False
2018-01-21,0.0,0.0,15.273819742489271,0.0,0.0,False,33,34,0,0,False
2018-01-28,15.766523605150216,0.0,0.0,0.0,0.0,False,0,34,0,0,False
2018-02-04,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,False
2018-02-11,0.0,0.0,0.0,0.0,0.0,False,34,0,0,0,False
2018-02-18,15.766523605150216,0.0,0.0,0.0,0.0,False,0,86,0,0,False
2018-02-25,0.0,0.0,15.766523605150216,0.0,0.0,False,35,0,0,0,False
2018-03-04,0.0,0.0,0.0,0.0,0.0,False,34,69,0,0,False
2018-03-11,15.766523605150216,0.0,15.766523605150216,0.0,0.0,False,34,68,0,0,False
2018-03-18,15.766523605150216,0.0,0.0,0.0,0.0,False,0,0,0,0,False
2018-03-25,0.0,0.0,0.0,0.0,0.0,False,0,35,0,0,False
2018-04-01,0.0,0.0,0.0,0.0,0.0,False,0,35,0,0,False
2018-04-08,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,False
2018-04-15,0.0,0.0,17.24463519313305,0.0,0.0,False,38,0,0,0,False
2018-04-22,0.0,0.0,16.751931330472104,0.0,0.0,False,37,55,0,0,False
2018-04-29,17.24463519313305,0.0,0.0,0.0,0.0,False,0,37,0,0,False
2018-05-06,17.24463519313305,0.0,0.0,0.0,0.0,False,0,0,0,0,False
2018-05-13,0.0,0.0,49.27038626609443,0.0,0.0,False,71,89,0,0,False
2018-05-20,0.0,0.0,33.50386266094421,0.0,0.0,False,73,54,0,0,False
2018-05-27,0.0,0.0,16.25922746781116,0.0,0.0,False,36,35,0,0,False
2018-06-03,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,False
2018-06-10,0.0,0.0,0.0,0.0,0.0,False,34,68,0,0,False
2018-06-17,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,False
2018-06-24,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,False
2018-07-01,0.0,0.0,16.25922746781116,0.0,0.0,False,35,0,0,0,False
2018-07-08,0.0,0.0,0.0,0.0,0.0,False,37,37,0,0,False
2018-07-15,0.0,0.0,0.0,0.0,0.0,False,40,40,0,0,False
2018-07-22,0.0,0.0,18.230042918454938,0.0,0.0,False,40,79,0,0,False
2018-07-29,0.0,0.0,0.0,0.0,0.0,False,0,39,0,0,False
