date,menu boda,menú vegano,isPartial
2018-01-07,0,0,False
2018-01-14,50,0,False
2018-01-21,0,0,False
2018-01-28,25,0,False
2018-02-04,24,0,False
2018-02-11,25,0,False
2018-02-18,25,0,False
2018-02-25,0,0,False
2018-03-04,24,0,False
2018-03-11,25,0,False
2018-03-18,0,0,False
2018-03-25,28,0,False
2018-04-01,38,0,False
2018-04-08,59,0,False
2018-04-15,50,0,False
2018-04-22,24,0,False
2018-04-29,50,0,False
2018-05-06,0,0,False
2018-05-13,85,0,False
2018-05-20,100,0,False
2018-05-27,36,0,False
2018-06-03,35,0,False
2018-06-10,70,0,False
2018-06-17,26,0,False
2018-06-24,25,0,False
2018-07-01,0,0,False
2018-07-08,25,0,False
2018-07-15,25,0,False
2018-07-22,100,0,False
2018-07-29,27,0,False
2018-08-05,66,0,False
2018-08-12,42,0,False
2018-08-19,28,0,False
2018-08-26,25,0,False
2018-09-02,74,0,False
2018-09-09,75,0,False
2018-09-16,60,0,False
2018-09-23,48,0,False
2018-09-30,0,0,False
2018-10-07,37,0,False
2018-10-14,24,0,False
2018-10-21,49,0,False
2018-10-28,38,0,False
2018-11-04,24,0,False
2018-11-11,49,0,False
2018-11-18,0,0,False
2018-11-25,25,0,False
2018-12-02,0,0,False
2018-12-09,25,0,False
2018-12-16,0,0,False
2018-12-23,30,0,False
2018-12-30,28,0,False
2019-01-06,25,0,False
2019-01-13,0,0,False
2019-01-20,69,0,False
2019-01-27,0,0,False
2019-02-03,48,0,False
2019-02-10,24,0,False
2019-02-17,49,0,False
2019-02-24,24,0,False
2019-03-03,24,0,False
2019-03-10,36,0,False
2019-03-17,24,0,False
2019-03-24,24,0,False
2019-03-31,24,0,False
2019-04-07,48,0,False
2019-04-14,26,0,False
2019-04-21,48,0,False
2019-04-28,46,0,False
2019-05-05,46,0,False
2019-05-12,0,0,False
2019-05-19,45,0,False
2019-05-26,34,0,False
2019-06-02,45,0,False
2019-06-09,23,0,False
2019-06-16,60,0,False
2019-06-23,50,0,False
2019-06-30,36,0,False
2019-07-07,23,0,False
2019-07-14,35,0,False
2019-07-21,24,0,False
2019-07-28,51,0,False
2019-08-04,0,0,False
2019-08-11,27,0,False
2019-08-18,26,0,False
2019-08-25,24,0,False
2019-09-01,34,0,False
2019-09-08,23,0,False
2019-09-15,22,0,False
2019-09-22,22,0,False
2019-09-29,22,0,False
2019-10-06,22,0,False
2019-10-13,65,0,False
2019-10-20,22,0,False
2019-10-27,0,0,False
2019-11-03,22,0,False
2019-11-10,0,0,False
2019-11-17,33,0,False
2019-11-24,43,0,False
2019-12-01,0,0,False
2019-12-08,23,0,False
2019-12-15,22,0,False
2019-12-22,0,0,False
2019-12-29,0,0,False
2020-01-05,22,0,False
2020-01-12,42,0,False
2020-01-19,41,0,False
2020-01-26,43,0,False
2020-02-02,21,0,False
2020-02-09,43,0,False
2020-02-16,43,0,False
2020-02-23,52,0,False
2020-03-01,0,0,False
2020-03-08,0,0,False
2020-03-15,0,0,False
2020-03-22,0,0,False
2020-03-29,19,0,False
2020-04-05,0,0,False
2020-04-12,0,0,False
2020-04-19,0,0,False
2020-04-26,0,0,False
