date,Hochzeit Buffet,Hochzeit Essen,Hochzeit Bar,isPartial
2018-01-07,0,20,0,False
2018-01-14,0,20,20,False
2018-01-21,0,20,0,False
2018-01-28,0,0,40,False
2018-02-04,0,20,0,False
2018-02-11,0,21,21,False
2018-02-18,0,21,21,False
2018-02-25,0,42,21,False
2018-03-04,0,21,0,False
2018-03-11,0,21,21,False
2018-03-18,0,42,21,False
2018-03-25,0,68,23,False
2018-04-01,0,0,23,False
2018-04-08,0,0,22,False
2018-04-15,0,22,22,False
2018-04-22,0,21,0,False
2018-04-29,0,0,22,False
2018-05-06,0,33,0,False
2018-05-13,0,31,21,False
2018-05-20,0,45,0,False
2018-05-27,0,0,0,False
2018-06-03,0,42,42,False
2018-06-10,0,20,20,False
2018-06-17,0,20,20,False
2018-06-24,0,0,100,False
2018-07-01,0,20,30,False
2018-07-08,0,40,40,False
2018-07-15,0,0,0,False
2018-07-22,0,20,0,False
2018-07-29,0,0,31,False
2018-08-05,0,21,21,False
2018-08-12,0,0,0,False
2018-08-19,0,22,0,False
2018-08-26,0,45,33,False
2018-09-02,0,22,22,False
2018-09-09,0,21,0,False
2018-09-16,0,42,0,False
2018-09-23,0,21,42,False
2018-09-30,0,42,21,False
2018-10-07,0,21,0,False
2018-10-14,0,21,21,False
2018-10-21,0,20,21,False
2018-10-28,0,0,21,False
2018-11-04,0,20,0,False
2018-11-11,0,40,0,False
2018-11-18,0,0,0,False
2018-11-25,0,0,0,False
2018-12-02,0,20,20,False
2018-12-09,0,20,0,False
2018-12-16,0,21,21,False
2018-12-23,0,0,0,False
2018-12-30,0,22,22,False
2019-01-06,0,39,0,False
2019-01-13,0,37,19,False
2019-01-20,0,56,38,False
2019-01-27,0,0,28,False
2019-02-03,0,38,38,False
2019-02-10,0,19,0,False
2019-02-17,0,29,38,False
2019-02-24,0,20,20,False
2019-03-03,0,39,20,False
2019-03-10,0,19,0,False
2019-03-17,0,20,41,False
2019-03-24,0,20,0,False
2019-03-31,0,20,0,False
2019-04-07,0,20,20,False
2019-04-14,0,0,0,False
2019-04-21,0,43,21,False
2019-04-28,0,0,20,False
2019-05-05,0,19,38,False
2019-05-12,0,19,39,False
2019-05-19,0,19,19,False
2019-05-26,0,20,60,False
2019-06-02,0,20,20,False
2019-06-09,0,21,42,False
2019-06-16,0,52,21,False
2019-06-23,0,0,0,False
2019-06-30,0,20,0,False
2019-07-07,0,47,38,False
2019-07-14,0,30,0,False
2019-07-21,0,20,0,False
2019-07-28,0,20,40,False
2019-08-04,0,21,21,False
2019-08-11,0,21,21,False
2019-08-18,0,54,32,False
2019-08-25,0,0,21,False
2019-09-01,0,40,39,False
2019-09-08,0,0,20,False
2019-09-15,0,20,0,False
2019-09-22,0,19,19,False
2019-09-29,0,19,58,False
2019-10-06,0,28,19,False
2019-10-13,0,38,0,False
2019-10-20,0,28,19,False
2019-10-27,0,19,28,False
2019-11-03,0,18,0,False
2019-11-10,0,19,19,False
2019-11-17,0,0,0,False
2019-11-24,0,36,0,False
2019-12-01,0,19,0,False
2019-12-08,0,0,0,False
2019-12-15,0,29,0,False
2019-12-22,0,0,22,False
2019-12-29,0,20,40,False
2020-01-05,0,27,0,False
2020-01-12,0,70,35,False
2020-01-19,0,18,0,False
2020-01-26,0,35,18,False
2020-02-02,0,17,26,False
2020-02-09,0,0,34,False
2020-02-16,0,0,18,False
2020-02-23,0,0,0,False
2020-03-01,0,0,0,False
2020-03-08,0,0,25,False
2020-03-15,0,16,16,False
2020-03-22,0,0,0,False
2020-03-29,0,0,0,False
2020-04-05,0,18,0,False
2020-04-12,0,0,0,False
2020-04-19,0,16,16,False
2020-04-26,0,16,0,False
2020-05-03,0,0,0,False
2020-05-10,0,16,0,False
2020-05-17,0,52,0,False
2020-05-24,0,16,0,False
2020-05-31,0,33,17,False
2020-06-07,0,0,0,True
